id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,2,0,1,1,1,1,2,1,19,2,2,2,9,2,2,2,2,2,20,14,4,2,2,2,7,8,8,9,20,22
mnh0,mnh0,50.0,12,25,1,1,1,22,1,22,1,18,1,1,18,1,1,1,5,1,1,18,5,5,1,1,1,7,10,18,1,1
mnh1,mnh1,50.0,22,47,1,1,49,35,1,42,35,1,1,1,1,20,1,1,4,18,35,33,6,7,8,8,12,18,18,28,35,45
mnh2,mnh2,50.0,4,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,6,1,1,1,1,3,1,1,6,1,1
mnh3,mnh3,50.0,14,29,1,1,1,29,1,29,29,1,1,28,1,14,1,1,1,18,30,22,8,13,14,14,14,14,14,25,30,29
lpsh0,lpsh0,1.0,15,33,1,1,1,1,23,31,1,1,23,23,1,15,23/26,24,16,15,1,1,17,16,15,15,18,15,15,1,1,1
lpsh1,lpsh1,1.0,14,25,1/26,1,1,1,1/18,1,1,1,1/19,1,1,2,1/21,1,2,2,22,15,2,2,2,2/3,2,2/4,2,15,23,1
lpsnh0,lpsnh0,1.0,2,1,1,1,1,1,1,1,1,12,1,1/14,12,2,1,1,2,10,1,12,2,2,2,2,5/6,2,2/7,12,17,1
lpsnh1,lpsnh1,1.0,1,19,1,1,1,1,1,1,1,1,1/5,1,1,1/4,1/8,1/5,1,1,10,1,1,1,1,1,1,1/3,1,1,10,1
lpsnh2,lpsnh2,1.0,32,1,1,1,1,44,1,1/41,1,1,1,38,1,1/14,1,1,1,15,46,37,2,1,1,1,1,7,11,1/37,1,1
lpsnh3,lpsnh3,1.0,3,24,1/36,35,35,24,19,24,24/25,15,2,2/21/22,15,3,2,2,3,3,31,18,3,3,3/7,7,3,3/9,12,18,31,24
lpsnh4,lpsnh4,1.0,1,1,1,1,1,1,21,1,1,1,21,21,1,1,21/23,21,1,1,25,18/20,1,1,1,1,1,10,1,18/19,25/26,1
lpsnh5,lpsnh5,1.0,21,39,1,1,1,1/31,1,31,1,1,1/29,1,1,1,29,1,1,22,35,27,15,1,1,1,1/19,1,1/20,27,34,38
lpsnh6,lpsnh6,1.0,2,1,1,1,1,24,1,1,1,1,1,22,1,2,22,1/23,2,2,26/29,15,2,5,2,6,2,7,10,18/19/20,28,1
lpsnh7,lpsnh7,1.0,3,1,1,1,1,1,1/22,28,1,1,1,1,1,3,1,25,1,11,38,17/18/19/20,1,1,3,3,7/8,3,3,1/21,37,1
lpsnh8,lpsnh8,1.0,1,39,1/41,1/41,1/41,1,1,34,1/35,1,1,1,1,1,1,1,19,21,39,31,19,19,1,1,1,1,1,31,39,39
lpsnh9,lpsnh9,1.0,11,20,1/23,1,1/22,1,1,1,18,1,1,1,12,1,1,1,1,11,1,12,4,5/6,1,1,1,1/8,10,12,1,20
lpsnh10,lpsnh10,1.0,1,1/21,1,1,1,1,1,1,1,1/18,19,19,1,1,19,20,3,1,1,1,9/10,12,1,1,1,1,1,1,1,1
lpsnh11,lpsnh11,1.0,15,22,1/23,1,1,1,1,1,1,1,1,1,1,2,1,1,1/2,1,1,1,4,1/11,1,1,2,2,2,1,1,22
lpsnh12,lpsnh12,1.0,20,28,1,1,1,2,1/2,2,2,23,1/2,1,23,5,1/2/26,1,5,21,29,23,8,15,5,5,5,5,5,23,29,2/28/30
lpsnh13,lpsnh13,1.0,1,1,1,1,1,41,1,1,1,1,1,1/39/40,1,1,1,1,1,6,1,37,1,1,3,3,1,1,5,38/11,1,1
lpsnh14,lpsnh14,1.0,15,1,1,1,1,1,26,1,1,1/17/18,27,1,17/18,2,1,27,2,2,1,23,2,2,3,3,5,2,2,23/24/25,1,1
lpmh0,lpmh0,1.0,1,24,1,1,1,16,1,17,1,1,12,1/13,1,1,1,12,1,1,1,9,1,1,1,1,1,5,1,8,19,20/21
lpmh1,lpmh1,1.0,2,45,1,1,1,39,2,39,39,2,2,2,2,2,38,29,2,2,42,27,3/4,6,9,2,2,17,2/25,2,39,48/39
lpmnh0,lpmnh0,1.0,35,74,1,1,1,1,54,64/1,65,40,55,54,40,8,61,57,4,38/39,67,50,4,4,28,28,10,8,32,51,67,70
lpmnh1,lpmnh1,1.0,1,51,1,1,53,1,1,1,34,16/17,1,1,1,1,29,1,1,1,40,25,2,3,1,1,6,10,12/15,22,41,43
lpmnh2,lpmnh2,1.0,12,67/68,1,1,1,49,44,55,57,37,44/45,45,42,12,45,48/46,4,26,65,38,5,4,18/12,20,12,21,12,38,63,57
lpmnh3,lpmnh3,1.0,2,32,1,1,1/42,32,2,38,39,2/25,2,2,25,2/22,2,2,2,2,32,30,16,2,2,2,18,20,20,27,40,32
lpmnh4,lpmnh4,1.0,24,49/50,1,1,1,34,4,36,38,4,4,27,4,11,27,4,11,11,42,4,11,17/15,11,11,11,11,22/23,4,45,48
lpmnh5,lpmnh5,1.0,1,27,1,1,1,1,1,1,23,17,21,21,17,1,21,21,1,1,23,19,6,7,8,8,13,1,1/14,19,23,27
lpmnh6,lpmnh6,1.0,3,54,1,1,1,1,1,53,54,1,51,52,48/1,3/24,51,51,4,3,58,1,4/5/6,11,12,12,23,44,24,1,54,54
lpmnh7,lpmnh7,1.0,17/2,50/51,54/55,1/52,1,32,2,1,34,2,25,2,19,16,2,29/30,3/4,2,35,21,3,2,5,5,2,15,7,21,35,1
lpmnh8,lpmnh8,1.0,1,46,1,47,47,1,26,1,1,15,26,36/37,15,1,36/26,26,2,6,43,24,4,1,9,9,1,1,13,15,42,42
lpmnh9,lpmnh9,1.0,3,1,1/47,1,1,1,34,1,1,29,36,36,29,3,36,39,5,3,1/45,29,9,3/13/14/15,16,16,23/24,3,3,29,43,1/46
lpmnh10,lpmnh10,1.0,1,30,1,1,1,1,13/14,1,1,1,1,1,1,1/8,1,1,3,11,18,1,3,5,1,7,1,1,1,1,1,31
lpmnh11,lpmnh11,1.0,8,50,1,1,1,50,2,50,50,2,2,46,2,26,49,44,8,8,50,43,10,17/15,8,8,8,20,8,42,52,50
lpmnh12,lpmnh12,1.0,1,48,1,51,51,45,1,45,45,25/27,38,42,25,16/15,44,38,6,1,45,35,4,1,8,10,1,13,12,25,46,45
lpmnh13,lpmnh13,1.0,2,42,1/43,1,1,1,1/27,1,1,1,1,29,1,2,29,1,2,22,36,24,3/4,2,10,7,11/12/13,15,17,24,37,1/38
lpmnh14,lpmnh14,1.0,1/12,44/46,1,1/49,1,1,1,35,1,15,1,30,16,1,28,1,3,14,41,18,3,3,1,1,7,1/11,1,16,40,47
lphh0,lphh0,1.0,27,0,1,1,1,1,68,1,79,1,1,76,1,18,1,1,12,4,82/78,67,9,9,15,16,4,18,18,62,81/78,78
lphh1,lphh1,1.0,21/24,58,0,0,0,0,0,42,45,0,41,37,0,16,37,41,2,0,0,36,2,2,0/3/4,0,5,10/12,7,0,53/54,0
lphnh0,lphnh0,1.0,27,66,68,1,1,1,2,1,54,2,34/35,50,2,9,50,46,3,9,61,31,3,3,12,12,12/13,9,9,33/30,57,66
lphnh1,lphnh1,1.0,21,70,74,1,1,48,36,49,54,2,39,36,2/28,3,36/47,39/43,9,26,61,35,9,10,3,14,15,17,19,2,61,59
lphnh2,lphnh2,1.0,74,101,1,102,102,93,89,94,93,1,88,92,1/78,2/50,1,90,11,2,93,81,18,11,21,21,34,2/42,49,84,93,101
lphnh3,lphnh3,1.0,41,88,1,1,1,1,1/53,77,1,1/49,53,65,49/52,28,65,57,2,48/46/47,1,49,2,2/10,14,11,19,30,37,49,82,90
lphnh4,lphnh4,1.0,38,104,1/110,1,1,2,2,94,97/98,66,88,2,66,1,2,91,9,56,103,84,12,16/18,1,20,1,1,1,87,97/102,104/107
lphnh5,lphnh5,1.0,96,133,137,1,136,117,1,110,121,1,107,109,1,90,109,107,1/3,82/52,125,1,36,50,72,76,81,82,89,1,121,121
lphnh6,lphnh6,1.0,1/20,103,1,1/111,1,1,90,102,105,25/28,90,93,49,1,101,90,4,22,107,88,6/7,9/12,1,1,17,1,19,57,109,110
lphnh7,lphnh7,1.0,69,131,1,144/1,1,130,1/87/88,130,130,77,1,98/100,76,1,96,90,4,75,136,80,49/50,4,54,1/52,1,56,60,84,136,142
lphnh8,lphnh8,1.0,31,1,1,1,110,1,1,95,1,1,1/83/84/78,91,75,1,86,79,6,48,99,70,6,1,12,15,18/20,22,21,71/73,99/101/102,1/106
lphnh9,lphnh9,1.0,44,81,1,1,1,1/71,59,72,81,1,62,65,51,33,69,62,8,49/50,81/83,57,9/10,19,29,25,21,37,40,57,88,81
lphnh10,lphnh10,1.0,22,77,1,1/81/82,81,60/62,44,2,64,39,44,57,39,34,44,54,14,22,73,42,9,15,28,28,31,35,36/37,43,74,77
lphnh11,lphnh11,1.0,56/60,93,1,108,108,93,1/77/78,100,93,65/67,87,90,74/76,24,88,80/82,8,3/62,103,72,15,4,21,3,3/22,28,32,68,102,107
lphnh12,lphnh12,1.0,21,86/88,1,1,1,62,37,65,68,1,42,58,1,21,52,39,5/12,21,70,35,11,20,1,27,1,29,32,1,71,89
lphnh13,lphnh13,1.0,49,119,1,1/121,1,83,3,83,83,3,66,80,3/58,20,77,63,5,55,98,3,5,15,23,23,21/26,29,30,3,100,107
lphnh14,lphnh14,1.0,49,85,1,1,1/87,66,59,68,69,1,60/61,1,55,42,1,64,1,51,66,55,1,1/11,27/30,27/31,1,36/39,41,55,66/73,81
lnpsh0,lnpsh0,1.0,6,15,1,1,1,13,1,13,14,1,1,0,8,1,0,1,1,7,16,8,1,1,1,1,1,1,1,8,16,15
lnpsnh0,lnpsnh0,1.0,2,15,17,1,1,11,1,11,11,1,1,1,10,5,1,1,3,2,14,1,3,3,2,2,2,5,5,1,12,11
lnpsnh1,lnpsnh1,1.0,6,37,1,1,1,1,26,1,1,1,28,28,1,6,28,28,6,6,34,1,6,6,6,8,6,17,6,22,34,32
lnpsnh2,lnpsnh2,1.0,1,23,1,1,1,1,1,1,1,1,1,1,12,1,1,16,3,1,20,12,1,1,6,7,9,1,11,13,20,1
lnpsnh3,lnpsnh3,1.0,15,35,1,37,37,1,1,31,1,17,1,29,18,10,29,1,1,1,1,19,1,1,3,3,1,7,1,18,1,35
lnpsnh4,lnpsnh4,1.0,1,20,1,1,1,1,1,1,1,13,1,1,14,1,1,1,1,1,19,14,3,1,1,4,6,7,1,14,19,20
lnpsnh5,lnpsnh5,1.0,9,26,1,31,31,1,1,25,26,1,22,22,1,1,22,22,1,12,28,17,1,1,1,3,4,5,5,16,28,26
lnpsnh6,lnpsnh6,1.0,1,1,21,21,21,1,13,1,1,1,14,14,10,1,14,16,1,1,1,10,5,1,1,1,1,1,1,10,1,1
lnpmh0,lnpmh0,1.0,3,0,62,62,62,1,1,1,58,41,0,55,49,3,55,0,10,3,60,45,9,8,3,3,15,3,3,47,60,0
lnpmsh0,lnpmsh0,1.0,20,34,1,39,40,1,4,1,33,23,27,27,25,4,27,29,4,21,1,23,4,4,9,4,10,12,14,23,1,1
lnpmsh1,lnpmsh1,1.0,20,1,1,49,49,42,1,43,1,1,30,31,29,1,41,30,3,13,1,25,3,1,7,7,10,1,1,25,1,1
lnpmsh2,lnpmsh2,1.0,28,59,1,1,1,39,1,43,46,1,1,34,1,8,36,1,8,8,48,1,8,8,8,8,13,19,8,1,52,46
lnpmsh3,lnpmsh3,1.0,2,61,1,1,1,41,38,41,57,28,39,1,28,2,1,39,3,2,58,33,3,6,2,2,8,17,24,32,58,61
lnpmsh4,lnpmsh4,1.0,9,64,1,1,1,55,1,58,55,1,1,54,44,37,1,1,10,41,55,1,12,13,14,14,14,33,15,1,55,66
lnpmsh5,lnpmsh5,1.0,17,40,1,1,41,1,22,1,27,1,1,1,1,1,1,1,1,1,24,1,4,10,12,12,13,1,1,20,24,28
lnpmsh6,lnpmsh6,1.0,29,63,1,1,64,43,1,50,53,31,1,1,36,2,1,1,5,2,56,31,21,4,22,22,2,25,2,31,61,62
lnphh0,lnphh0,1.0,55,82,1,1,95,76,68,79,82,64,68,72,64,49,72,68,8,32,87,64,15,17,20,21,29,45,48,64,82,91
lnphnh0,lnphnh0,1.0,70,94,119,1,1,90,1,92,98,75,83,86,78,36,86,84,6,36,110,78,10,11,22,28,34,45,36,78,101,94
lnphnh1,lnphnh1,1.0,15,90,1,93,1,49,43,51,57,30,41,44,40,13,41,41,4,29,83,31,4,7,11,2,2,13,13,33,67,92
lnphnh2,lnphnh2,1.0,58,133,1,137,137,95,2,95,99,59,85,92,75,44,83,89,36,44,108,70,36,35,47,47,48,44,44,72,110,95
lnphnh3,lnphnh3,1.0,69,109,1,1,1,93,84,93,92,72,2,87,72,24,90,2,8,2,108,79,10,11,15,17,20,27,29,73,104,92
lnphnh4,lnphnh4,1.0,99,146,147,149,149,127,1,1,129,102,1,1,123,15,1,125,4,101,137,107,4,13,22,31,33,41,46,114,134,141
lnphnh5,lnphnh5,1.0,75,164,167,168,168,126,104,144,153,80,109,106,100,31,106,109,4,77,156,82,6,9,2,27,2,33,31,97,121,161
lnphnh6,lnphnh6,1.0,82,142,1,1,1,132,2,131,131,86,2,2,99,10,2,129,10,10,131,92,10,13,16,16,19,32,33,95,138,143
