id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,18,1,1,1,1,27,1,1,25,27,1,1,1,1,19,23,1,1,1,19,1,1,1,1,1,23,1,25,26,27
mh1,mh1,50.0,1,1,1,8,1,1,1,1,1,1,1,1,2,2,1,2,1,12,1,1,1,11,1,2,2,2,6,1,13,1
mh2,mh2,50.0,1,1,1,1,22,1,1,1,1,1,1,1,6,13,4,10,1,16,1,4,17,1,1,10,12,10,1,1,1,19
mh3,mh3,50.0,1,1,1,1,1,28,1,21,1,28,2,0,10,10,5,0,3,23,2,6,1,20,0,10,10,13,0,1,1,28
mnh0,mnh0,50.0,1,4,15,4,4,15,15,15,15,15,4,4,11,14,6,11,7,15,9,8,15,15,4,11,13,11,11,15,18,15
mnh1,mnh1,50.0,1,6,4,4,25,4,24,21,24,4,4,4,14,14,7,19,10,4,13,7,24,4,4,14,14,14,14,24,24,4
mnh2,mnh2,50.0,1,3,14,14,3,18,15,15,15,18,6,3,3,11,7,3,7,15,9,7,16,15,3,3,10,3,3,15,15,18
mnh3,mnh3,50.0,1,1,1,10,1,1,1,1,1,1,4,1,1,1,4,1,4,1,4,4,1,1,1,1,1,1,9,1,13,17
mnh4,mnh4,50.0,1,1,1,1,1,1,1,1,1,1,5,1,13,14,10,14,11,1,5,10,1,1,21,14,14,14,13,16,1,19
mnh5,mnh5,50.0,1,2,2,2,2,2,2,2,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,2,2
mnh6,mnh6,50.0,2,6,5,5,5,5,5,5,5,5,5,29,12,5,5,5,5,5,5,5,5,5,30,5,13,5,22,5,5,5
mnh7,mnh7,50.0,1,1,1,1,1,1,1,7,1,10,1,1,5,5,3,5,1,7,1,3,1,1,1,5,5,5,1,1,1,1
mnh8,mnh8,50.0,1,1,1,1,1,16,1,1,1,16,1,1,4,5,1,5,1,1,1,2,1,1,1,11,12,5,14,1,1,21
mnh9,mnh9,50.0,1,1,1,1,1,16,16,16,16,16,7,1,1,1,7,1,7,16,12,7,16,16,1,1,1,1,1,22,16,16
mnh10,mnh10,50.0,1,1,1,1,1,1,1,1,1,1,12,1,1,18,7,1,3,1,12,7,1,1,23,1,1,1,1,22,1,1
mnh11,mnh11,50.0,2,7,7,7,7,7,7,7,7,7,7,17,7,7,9,7,9,7,7,9,7,13,7,7,7,7,7,7,7,7
mnh12,mnh12,50.0,1,1,1,1,1,12,1,1,1,16,1,19,1,1,1,1,1,10,1,1,1,1,19,1,1,1,1,1,1,12
mnh13,mnh13,50.0,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,10,1,12,1,1,1,6,9,1,1
mnh14,mnh14,50.0,1,3,3,3,17,3,13,13,13,3,3,19,10,10,3,10,7,13,3,3,13,13,18,10,10,10,3,13,16,3
mnh15,mnh15,50.0,2,1,1,13,20,16,1,1,1,19,1,22,8,1,7,1,1,1,1,7,1,1,22,1,1,1,1,1,1,17
lpsh0,lpsh0,1.0,1,1,1,1,1/15,1,8,8,8,1,2,1,1,1,3,1,2,11,4,0/3,8,8,16,1,5,1,7,8,8,0
lpsh1,lpsh1,1.0,0/2,1/3,16,16,1,29,16,16,18,30/31,1,32,9,0,1,13,1,16/17,1,1,28,16,0,14,0/13,13,1,18,28,30
lpsh2,lpsh2,1.0,1,1,1,1,1,1,16/1,1,1,1,1,1/22,1,11,1/4,1,1,1/15,0,1,1,1,21,1,1,1,0,1,1,1
lpsh3,lpsh3,1.0,25,28,1,1,1,44,46,46,46,44,32,1,1,35,1,1,1,46,33,1/30,46,46/47,1,1,35/36,1,1,46,46,44
lpsh4,lpsh4,1.0,1,1,1,1/8/9,1/11,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,1,12,6,4,4/7,1,1,1,1
lpsh5,lpsh5,1.0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1/6,1,1/10,1,1,1,0,9,1/13,1,1
lpsh6,lpsh6,1.0,1,0,0,10,0,0/18,0,0,0,0,0,0,8/9,8/9,3,8,0,0,0/6,5,0,15,0,8/9,8,8,0,0,16/17,18
lpsh7,lpsh7,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0/5/6,15,9,5/8,0,14,0,0,0/10,0,0,0,0,0
lpsnh0,lpsnh0,1.0,1,1,1,1/8,12,1,10,1/9,1,1,1,11,5,5,1,5/7,1,1,1/3,1,1,1,11,5,6,5/7,1,1,1,1
lpsnh1,lpsnh1,1.0,1,1,1,1,24,1/20,1,1,1/17,20,5,1,7,7,1,7/10,1/3,1,6,1/4,1/18/19,1,27,7,8,7,12,17,1/18/19,1
lpsnh2,lpsnh2,1.0,1,1,1,1,1,1/9,1,6,1,1,2,10,1,1,1,1,1,1,1,1,1,4,10,1,1,1,1,1,1,1
lpsnh3,lpsnh3,1.0,1,2/3,1,1,1,1/11,1,1,1/8,1,1,1,1,6,1/4/5,1,4,1,1,5,9,1,14,1,6,1,7,1,9/10,1
lpsnh4,lpsnh4,1.0,1,2,2,2,8,7,2,2,2,7,3,2,2,2,3,2,3,2,3,4,2,2,2,2,2,2,5,2,2,7
lpsnh5,lpsnh5,1.0,5/7/8,9,9,9,34,9,9,28,9,9,9,9,9,14,10,9,9,30,9,10,31,28/29,9,9,9,9,26,9,31,9
lpsnh6,lpsnh6,1.0,1,1,1,1,1,12,13,13,13,19,2,1,7,7,2,9,2,13,2,2,13,13,1,7,7,9,4,13,13,17
lpsnh7,lpsnh7,1.0,1,4,4,4,4/13,4,4,4,4,4,4,4,4,4,4,4,4,4/9,4/6,4,4,8,4,4,4,4,7,4,4,12
lpsnh8,lpsnh8,1.0,1,1,1,15,1,16,16,16,16,16,3,1,10/12,12,7,10,5,16,3,3,16,16,22,10/12,12,10,10,17,16,16/20
lpsnh9,lpsnh9,1.0,1,1,1,23,1,1,24,24,24,33,5,1,8,1,5,22,5,24/27,5,6,29,25,1,3,1,22,1/3,24,29,46
lpsnh10,lpsnh10,1.0,1/2,1,1,1/12,22,17,1,1,1,17,1,22,1,9,1,9,1/3,1,7,1,1,13,22,9,9,9,1,1/15,1,19
lpsnh11,lpsnh11,1.0,1,1,1,1,1,1,1,1,1/43,1/53,27,54,1,35,27,36,27,1,27,27,46,42,55,1,1,36,1,43/45,46,52
lpsnh12,lpsnh12,1.0,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1/3,1,1,12,1,1/3,1,1,1,1,1,1,1,1,1,1
lpsnh13,lpsnh13,1.0,1,1,1,1,1,1/12,1,9/10,11,12,5,1,1,7,1/4,1,1,9,6,1/4,11,9,1,1,1,1,1,11,11,12
lpsnh14,lpsnh14,1.0,1,1,1/2,1/2,1/14,2,2,10/11,2,2,2,1,7,7,1/4,7,1,11,2,3,2,12,1,7,7,7,7,2,2,2
lpsnh15,lpsnh15,1.0,1,2/3,2,2/9,28,10,26,2,26,10,2,2,5,2,2,2,2,2,2,2,26,22/24,30,2,2,2,2,26,26,10
lpsnh16,lpsnh16,1.0,2,1,1,1,1,1,1,1,1,1,4,1,5/7,1,4,1,1/4,1,4,1,1,1/10,1,1,1,1,9,1,1,1
lpsnh17,lpsnh17,1.0,1,1/2,1,1,1,1,1,1,1,1,3,1,1,1,3,1,5,1,3,6,1,1,1,1,7,1,1,1,1,1
lpsnh18,lpsnh18,1.0,1,1,1,1,14,10,1,1,1,10,1,1,1/4,4,1,4,1,1,1,1,1,1/11,1,4,4,4,6,12,1,10
lpsnh19,lpsnh19,1.0,1,1,1,1,1,32,1/24,1,24/26,1,15,33,1,19,17/15,23,15,1/25,15,18/15,28/29/30,1,33,19,21,23,1,26,26,1
lpsnh20,lpsnh20,1.0,1,4/5,1,1,1,18,1,1,1/11,18,1,1,1,1,9,1,7,1,1,9,16,10,1,1,1,1,1,12,16,18
lpsnh21,lpsnh21,1.0,1/2,1,1,1,1/15,1,11,1,11,1,1,1,1,1,5,1/7,4,1,1,5,14,8/9,1,1,1,1,1,13,14,1
lpsnh22,lpsnh22,1.0,1,1,1,1,1,15,12,11,12,15,8,1/2,1,2,8,2/10,8,11,8,8,12,12/13,2,2,2,2,2,12,12,16
lpsnh23,lpsnh23,1.0,1,3,3,3,24,3,3,18,3,3,3,25,12,12/15,3,12,3,18/3,6,3,3,3,26,12,12,12,17,3,23,3
lpsnh24,lpsnh24,1.0,5,6,6,6,6,6,6,6,6,6,1,22,6,13,1,14,1,6,11/12,1,6,6,22,13,13,14,6/15,16/6,6,6
lpsnh25,lpsnh25,1.0,1,3,3,3,3,3/24,3,3,3,3,7,3,3,13,7,18/3/13,10,3,7,7/12,22,3,3,3,17,18/3/13,3,3,23,26
lpsnh26,lpsnh26,1.0,1,1,1,1,1,1,1,1,1,1,2,1,7,7,1,7,3,1,2/4,1,1,20,1,7,17/14,18,1,1,1,1/22
lpsnh27,lpsnh27,1.0,1,1,1,1,1,1,1,1,1,1,5,1,6,6,5,7,5,1,5,5,1,11/12,1,6,7,7,1/6,13,1,19
lpsnh28,lpsnh28,1.0,1,1,1,1,1,1,1,1,1,1,4,1,1,8,6,1,4,1,4,6,1,1,1,1,8,1,1,1,1,1
lpsnh29,lpsnh29,1.0,1,1,1,1,1,8,8,8,8,8,6,1/12,7,7,6,7,6,8,6,6,9,8,1/12,7,7,7,7,8,9,11
lpsnh30,lpsnh30,1.0,1,4,1,1,4,1,1,1,1,32/1,4,34,4,4,4,4,4,1,4,4,1,1,4,4,4,4,7/13,1,1,29
lpsnh31,lpsnh31,1.0,1,1,10,9,29,10,10,10,10,10,1/5,1,6,6,4,6,1,16,1,4,24,13,32/1,6,6,6,1,10,24,27/28
lpsnh32,lpsnh32,1.0,1,1,1,1,13,1,1,1,1,1,1,1/14,7,7,5,7/11,1,1,1,5,1,1,1,7,7,7/11,1,1,1,1
lpsnh33,lpsnh33,1.0,1,1,1,1,1/13,1,1,1,1,1,2,1,1,1,2,1,2,1,4,2,1,9,1/14,1,1,1,1,10,1,1
lpsnh34,lpsnh34,1.0,1,3,3,3,3,3,3,3,3,3,3,3/19,3,3,3,6/7,3,3,3/4,3,3,3/15,21,5,3,7,11/13,17/18/3,3,3
lpsnh35,lpsnh35,1.0,1,4,18/4,4,4,18,18,21,18,18,10/12/13,4,4,16,11,4,10,18/22,10,11,18,19,4,4,4,4,17/4,18,18,18
lpsnh36,lpsnh36,1.0,1,1,1,1,1,18/10,1,11,1,10,1,22/24,1,6,3,1,1,11,1,3,1,12,22,4,7,1,1,16,1/17,20
lpsnh37,lpsnh37,1.0,1,2,2,19,2,2,2,2,2,2/43,2,2,2,2,5/6,2,5/6,2,2,7,2,23,47,2,2,2,17,25,2,39
lpsnh38,lpsnh38,1.0,1,1,1,1,1/23,1,1,1,1,1,1,1,7,1,3,1/8,3,1,1,3/4,1,11,1,8,8,1/8,9/10,14,1,18
lpsnh39,lpsnh39,1.0,1,2,1,1,27,25,16/1,16,19,25,10,27,1,4,7/8/9,4,7,16,11,7/8/9,22,16,28,12,4,4,1,19/21,22,26
lpsnh40,lpsnh40,1.0,1,4,4,4,4,4,4,4,4,4,6,4,5,5,6/8,5,6,4,6,6,4,14,4,5,5/11,5,5,4,4,16
lpsnh41,lpsnh41,1.0,1,2/3,2,2,33,2,2,2,2,2,2,33,7,2,2/4,11/13,4,2,2,2/5,30,2,33,2,9,11,14,2,30,2/31
lpsnh42,lpsnh42,1.0,1/2,1,1,1,1,1,1,1,1,1,9,1,10,10/12,4,10,1,1/14,9,4,1,1,1,10/11,10,10,1,15,1,23
lpsnh43,lpsnh43,1.0,1,4,4,4,20/21,4,4,15,16,4,4,4,10,14,4,9,4,15,7/8,4,4,15,4,9,9,9,4,16,4,17
lpsnh44,lpsnh44,1.0,1,1,1,1,1,1,1/12,1,1,1,1,1,1,7,1,8/9,1,1,4,1,1,1,1,1,1,8,10,1,1,1
lpsnh45,lpsnh45,1.0,1,1/2,2,2,2/19,17/18,2,16/2,2,17/2,8/9,19,10,2,7,1,7,2,8,7,2,2,25,12,13,1,15,2,2,2
lpsnh46,lpsnh46,1.0,1,1,1/5,1,1,1,1,1,1,1,3,13,1,1,2,1,2,1,3,2,1/11,6,13,1,1,1,1,8,1,12
lpsnh47,lpsnh47,1.0,2,3,3,3,3,3/19,3,3,3,3,8,3,3/12,14,11,14,10,3,8,11,3,16,22,14,14,14,3,3,17/3,3
lpsnh48,lpsnh48,1.0,1,2,2,2,2,2/18,2,16,2,2,2,2,8,8/14,2,8/15,2,16,2,2/6,2,16,2,9/10,12,8/15,2,2,2,2/18/19
lpsnh49,lpsnh49,1.0,1,1,1/18,1,1,1,1,1,1,1,4,21,11,12,4,16/17,4,1,9,4,1,1,23,12/14,12,16,1,1,1,1
lpsnh50,lpsnh50,1.0,1,1,1,1/10,1/18,16/1,1/13,1,13,15,1,1,1,1,3,8,1,1,1,3/4,13,1,1,1,1,8,1,13,13,1
lpsnh51,lpsnh51,1.0,1,6,6,6,50,6,6,6,6,6,6,50,6,6/11,6,6,6,17,6/10,6,48/47,13,50/51,6,6,6,6,19/20,48,49/6
lpsnh52,lpsnh52,1.0,1,1/2,1,1,1,1,1,1,1,1,9/10,1,1,1,6,1,6,1,6/9,6,1,1,1,1,1,1,1,1,1,1
lpsnh53,lpsnh53,1.0,1,9,6,6,6,6,6,6,6,6,6,25,6,6,11,13,11,21,6,11,6,6,25,6/13,14,13,20/6,6,22/23,6/24
lpsnh54,lpsnh54,1.0,1,2,2,3,3/56,2,2,2,2,2,3,3,3,3,3,3,3/5/6,2,9,3/7,2/51,48,3,3,3,3,13,49/2,2,2
lpsnh55,lpsnh55,1.0,1,1,1,1,1,1/14,6,6,9,1/14,1,1,1,1,4,1,4,6,1,4,13,6/8,1,1,1/5,1,1,9,13,14
lpsnh56,lpsnh56,1.0,1,6,6,6,6,6,6,6,6,6,6,6/15,6,7,6,7,6,6,6,6,6/13,6,15,7,7,7/9,6,10,6/13,6
lpsnh57,lpsnh57,1.0,1,1,1,1,1,1,1,1,1,1,4,1,1,8,1,1,1,1,4,1,11,1,1,1,1,1,1,1,11,12
lpsnh58,lpsnh58,1.0,1,7,7,7,7,26,7,7,7,7,13,7,16/7,19/7,13/14,20/7,13/14,7,13,13/14,24,7,7,7,7,7,7,7,24,7
lpsnh59,lpsnh59,1.0,2,1,1,1,29,1,1,1,1,18,3,29,1,1,3,1/10,3,1/14/15,3,3,17,1,29/30,1,9,1/10,1/11,16,17,27
lpmh0,lpmh0,1.0,1/2,4/7,4/24,4/24,45,28,27,27,27,28,4,47,21,21,4,22,4,27,16,4,27,27,47,21,21,22,23,27,27,39
lpmh1,lpmh1,1.0,2/3,5,4,4,1,4,4,29,4,4,17,1,4/24,4,10/14,4,16,29,23,10,33,29,1,4,4/26,4,4,32/4,33,38
lpmh2,lpmh2,1.0,1,4,4,0/4,33/34/4,28,0/24,4,19/20/21,28,11,0,4,4,9,4,8,18/4,4,9,22,16,0,4,4,4,4,20/21,23,28
lpmh3,lpmh3,1.0,2,14,23,23,9/31,23,23,23,23,23,9,9,20,20,9,22,9,28,16/18,9,23,23,9,20,20,22,9,23,23,23
lpmh4,lpmh4,1.0,3,1,1,1,33,1,1,1,1,1,1/11,35,17/22,1,4,23,1,1,1,10,1,1,36/37,1,1,23,1,1,30,1
lpmh5,lpmh5,1.0,6,9,9,17,26,22,9,9,9,22,9,27,9,9/11,9,9,9,9,9,9,9,9,28,9,9,9,14,19,9,22
lpmh6,lpmh6,1.0,1,0,0,0,0,41,0,32,0,41,0,54,0,27,0,28/29,0,32,19,0/16/15,0,32,57,22,27,28/29,0,0/39,40,51
lpmh7,lpmh7,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,6,4/5,9,3,0,2,4/5,2,2,2,6,6,9,12/13,16,2,2
lpmnh0,lpmnh0,1.0,1,11,11,28,51/52,29,32/30,30,39,45,11,57,22,23,13,23,13,30,18,16,40,30,59,23,23,23,11,39,40,48
lpmnh1,lpmnh1,1.0,1,5,5,5,5,24,5,5,16,24,5,5,9,12,5,9/12,5,5,5,5,16,5,5,12,12,9/12,14,19,5,36
lpmnh2,lpmnh2,1.0,1,2,1,16/1,1,25,1/18,1,1,25,4,1,4,15,6,4,6,1,4/9,6,22,1,37,14,4,4,4,1,19,27
lpmnh3,lpmnh3,1.0,1,1,1,1,1,1,14,14,14,17,6,1,8/9,2,3,2,3,14,6,3,14,14,1/19,2,12,2,2,15,14,1
lpmnh4,lpmnh4,1.0,1,1,1,1,32,1,29/30,29,29,1,9,58,24,25,4,1,1,29,16,4,29,31,59,1,1,1,26/27/28,29,29,1
lpmnh5,lpmnh5,1.0,1,4,33,31,4,46,33,33,33,33/46,10,57/58,19,20,4,20,4/5,33,9,4/7,33,33,57,20,20,20,29,45,33,51
lpmnh6,lpmnh6,1.0,1,1,1,1,21,1,12,11,11,1,3,25,1,1,3,1,3,11,3,3,18,11,25/27/29,1,1,1,10,12,18,1
lpmnh7,lpmnh7,1.0,1,15,15,15,42,41/15,29,29,29,40,17,43,17/24,28,17,17/25,20,33,17,17,38/29,31,45,27,25,17,17,36/37,29,40
lpmnh8,lpmnh8,1.0,1,1,16,1,1,16,16,16,16,16,2,1,11,1,3,1,5,20,2,3/6,21,16/18/19,1,13,1,1,1,16,21,16
lpmnh9,lpmnh9,1.0,4,6/7/8,7,27,7,7,30,31,32/30,41/42,7,7,21,21,10,21,7/11,31,13,10,30,31,7,21,21,21,7,40,30,7
lpmnh10,lpmnh10,1.0,1,3,3,28,3,36,3,3,3,42,3,3,3,3,3/6,3,3,3,3,5,34,3,46,11,3,17/3,22,3,34,38
lpmnh11,lpmnh11,1.0,1,3,3,11,3,3,3/14,3,3,3,4,18,3,9,5/6,9,4,3,7,6,3,3,19,9,9,9,3,3,3,15
lpmnh12,lpmnh12,1.0,1,1,27,1,36/37,27,27,27,27,35,1,42,1,1,1,1,1,27,16/14,1,27,27/30,39,1/20,25,1,1,27,27,27
lpmnh13,lpmnh13,1.0,4,1,1,1,43,1,1,1,1/36,1,9,45,24,27,1,28/29/30,1,1,9,1,40,1/34,50,27,27,28/29,32,36,41,1
lpmnh14,lpmnh14,1.0,1,10,11,11,37,11,11,11,11,11,14,39,11,20,10,11,13,11,14,13,11,11,48,11,19,11,11,11,11,26
lpmnh15,lpmnh15,1.0,1,1,1/22,1,1,22,30,22,30,22,5,35,19,20,9,20,8,27,15,9,30,25,35,20,20,20,1,30/31,30,32/33
lpmnh16,lpmnh16,1.0,1,6,6,6,6,6,6,6,6,6,6,6,16/17,19/6,8,6,8,6,6,8,6,6,35,18,6,6,22,6,6,31
lpmnh17,lpmnh17,1.0,1,6,6,6,6,22,19/6,6,6,6,6,26,9/11,9,6,9,6,6,6,6,6,6,26,9,9/13,15,9,18,6,6
lpmnh18,lpmnh18,1.0,1,1/3,2,2,2/37,23,23,30,36,23,2,38,11,11,8,11,2,30,2,8,23,32/33/30,38,11,17/18,11,20/22,36,23,23
lpmnh19,lpmnh19,1.0,1,2,51/46/47,50,2,52,53,53/54,53,52,8,2,12/14,12,2,15,4,54,8,2/5,53,54,56,12,12,12/15,43,53,53,52
lpmnh20,lpmnh20,1.0,2,4,1,1,1,33,24,24,27,33,15,36/39,1,17,14,23,10,24,15,14,29/31,24/26,36/38,17,17,23,1,27,30,33
lpmnh21,lpmnh21,1.0,1,1,1,1/20,32,1/29/30,21,21,23,1,12,32/34,1,1,6/10,16/17/18,1,21,12,6/10,28,21,33,1,16,16/17/18,1,23,28,1
lpmnh22,lpmnh22,1.0,1,1,1,1,1,1,1,1/17,1,1,1,1/27,9,9,1,14,4,1,1,1,20,1,26,12,9,14,1,1,20,1
lpmnh23,lpmnh23,1.0,1,4,5,5,5,5,5,5,18/5,5,4,32/5,9,10,4,10,6,5,8,4,29,5,32/5,9/11,10,12,9,18/5,28,31
lpmnh24,lpmnh24,1.0,1,1,19,18,1,19,20,20,23,19,11,1,15,13,6,13,3,20,11,6,20/24,20/21,1/26,13,16/13,13,1,23,20,19
lpmnh25,lpmnh25,1.0,1,1,2,2,29,2,22,2,22,2/27,7,28,1/13,1,1,1,1,17,10,1,23,2,28,1,1,1,1,22,23/25,2
lpmnh26,lpmnh26,1.0,4,8,35/36,33,47,36,35,39,35,36,15,1,1/19,26/29,11,30,11,39,17/15,11,35,39/42,1/50,1,1/23,1,1,35,35/43,45
lpmnh27,lpmnh27,1.0,1,1/4,17,17,1/34,26,23,20,23,26,1/8,1,1,12,1/5/6,1,1,20/22,9,1/5,23,21,47,1,12/15,1,1,23/25,23,30
lpmnh28,lpmnh28,1.0,1,1,35,34,42,35,35,35,35,35,1,1,18,16/19/20,6,22/23/24,13/15,36,1,6,37,35,1,19,19,24,26,35,38,39/41
lpmnh29,lpmnh29,1.0,1,3,24,24,33,24,24,24,24,32,9,35,15,11,3,11,8,24,9,3,24,24,37,11,17,11,21,24,24,29
lpmnh30,lpmnh30,1.0,1,1,1/19,1,1,25,29,29,29,25,9,36,15,1,3,1,3/8,32,9/10,3,29,29,37,1,1,1,1,29,29,25
lpmnh31,lpmnh31,1.0,2,6,6,18,6,6,6/23,6,6,6,6/13,34,6,6,11,17/6,6/8,21/22,13,11,6,19/20,37,6,16/6,6,6,6,6,31
lpmnh32,lpmnh32,1.0,1,7,4,20/21,4,4,4,23,4,4,4/12,4,4,4,4,4,9,23,14/15,4,30,23/24,35,4,4,4,4,4,30,31
lpmnh33,lpmnh33,1.0,1,2,2,21,32,2,2,2,2,2,4,2,2,2,10,18,10/12,25,4,10,28,2,2/35,15,2,18,2,2,28/29,2
lpmnh34,lpmnh34,1.0,1,1,12,12,12,21/12,12,16/14,12,19,1,22,6,4/10,3,4/11,3,17,1,3,18,16,22/23,8/9,4,4/11,1,12,18,12
lpmnh35,lpmnh35,1.0,1,6/9,6,6,40/41,39,33/6,24,6,37,12/14,44,16,19,10,17,10,32/31,13/15,10,35,28,45,17/19,19,17,20,6,35,37
lpmnh36,lpmnh36,1.0,1,9,9,9,9,9,9,9,9,48,16,60,25/27,20,11/13,37,11,43,17/18/19,11,45,9,60,32,34,37,38/9,9,45,46
lpmnh37,lpmnh37,1.0,2,1,1,1,33,1,32/1,1,1,1,1,34,1,15,1,1,1,1,4,1,28/29,19,34/36,1,7,1,1,1/22,31,1
lpmnh38,lpmnh38,1.0,1,4,4/14,10,4,19/14,14,14,14,14,4,4/21/22,6,6,4,6,4,14,4,4,14,14,21,6,6,6,8,14,14,14
lpmnh39,lpmnh39,1.0,1,5,19/5,19,19,19/5,20,20,27,5,9,19,12,14,5,17/18/14,5,25,10,7,28,20,19,14,14,14,5,27,28,30
lpmnh40,lpmnh40,1.0,1,1,29,1,1,40,29,32/29,29,38,5,1,10,25,5,10,5,29,7,5,36,29/31,44,10/13,10,10,1,29,36,29
lpmnh41,lpmnh41,1.0,1,4,19/4,4,4,4,4,4,28,4/36,11,39,4/15,4,4,4,4,4,11/12,4,33,27,39,4,4,17,4,31,33,4
lpmnh42,lpmnh42,1.0,3/4,1,1,9,25,1,11,1,11,1,1,32,6,6,1/5,6/7,1,1,1,1,15,1,31,8,6,6/7,6,13,14,1
lpmnh43,lpmnh43,1.0,2,1,33,33,1,41,33,33,33,41,8,1,25/26,22,9,22,9,38,8/11,9,33,33/36,42/44,28/29,31,22,1,33,33/40,41
lpmnh44,lpmnh44,1.0,1,5/6/7,35,4,50/6,35,35,35,35,48,24,6,4,4,9,4,9,35,23,9,45,35,52,4,29,32/4,33,39,46,35
