id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,6,2,8,1,0,4,2,9,2,9,0,5,0,5,5,9,0,5,5,5,9,0,5,9,0,5,2,2,2,9
mnh0,mnh0,50.0,1,1,1,1,1,1,17,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,2,1,1,2,13,3,16,1
mnh1,mnh1,50.0,1,1,1,1,1,1,1,18,1,18,2,1,2,5,5,18,4,5,6,5,20,2,5,20,2,6,7,1,1,18
mnh2,mnh2,50.0,1,12,39,1,1,1,12,39,12,39,1,1,1,8,1,39,1,1,1,1,39,6,1,39,1,1,37,12,12,39
lpsh0,lpsh0,1.0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,6,0,0/2,0,0,0,0,13/14,0,0/16,19/20
lpsnh0,lpsnh0,1.0,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,8,1,1,20,1,8,20,1,1,17,17,17,20
lpsnh1,lpsnh1,1.0,1,1/17,1,1,1,1,1,1,1,1,1,14,1,14,14,1,4/6,14,14,14,1,3/7,14,24,4,14,21,18,18,1
lpsnh2,lpsnh2,1.0,1/4,1,1,16,1,1,1,1/11,5/6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5/7,5,5,1
lpmh0,lpmh0,1.0,2/3,2,2,1,2,2/4,2,2,24,2,4,2,4,2,2,25,9,13,2/21,20/13,25/26,4,19,25,8,2/21/22,24,24,24,25/28
lpmnh0,lpmnh0,1.0,1,1,1,88,1,1,1,1,1,1,1,5/8/9,1,9,9,1,3,10,9,10,1,1,10,1/50,3,9,45,12,12,75
lpmnh1,lpmnh1,1.0,13,1,1,42,2,2,31,36,1/29,39/41,3,8,3,6,6,39/41,3,6,6/11/12,6,41,3,6,41,3,6/10,24,25/26,27/28,41
lpmnh2,lpmnh2,1.0,1/22,1,1,46,1,1,1,1,1,1/40,15,1,15,1,19,1,5/14,1,20,1/17,41,15,1,41/42,11,20,30,1/37,1,1/43
lphh0,lphh0,1.0,1,20/21,1,53/54,1,1,20,38/39,22,38,1,9,1,9,17,50,5,12,18,12,0,8,12/15,0,1,18,32/36,22,22,42
lphnh0,lphnh0,1.0,1,28,28,1,5,1/12,28,39,32,28,10/11,16,1,16,16,60,6,17,25,21,44/45,1,18,53,6,25,37,32,32,64
lphnh1,lphnh1,1.0,50,52,58,83,8,8,52,61,52,62,8,43,8,43,48,79,8,44/45,48/43,47,62,8,45,71,8,43,57,52,52,79
lphnh2,lphnh2,1.0,2,35,35,55/56,2,2,35,44,35,45,5,26/27,17,27,33,52/53/44,10,27,32,27,46,18,27,48/46,7,32,37,39,42,51
lnpsh0,lnpsh0,1.0,1,1,1,1,1,1,1,9,4,9,1,1,1,1,1,9,1,1,1,1,9,2,1,9,1,1,8,4,4,9
lnpsh1,lnpsh1,1.0,1,1,1,1,1,1,17,0,1,0,1,5,1,5,5,0,1,5,5,7,0,1,5,0,1,5,13,1,14,0
lnpsnh0,lnpsnh0,1.0,1,11,17,1,2,2,11,18,11,11,3,1,3,1,1,11,3,1,9,8,20,3,1,11,3,9,15,14,11,11
lnpsnh1,lnpsnh1,1.0,11,13,1,1,1,1,18,19,13,19,4,1,4,1,1,20,4,1,1,9,19,4,1,19,4,1,13,17,13,20
lnpsnh2,lnpsnh2,1.0,1,1,1,1,1,1,1,1,1,1,1,5,2,6,4,10,1,6,4,6,10,2,7,10,1,4,1,1,1,10
lnpsnh3,lnpsnh3,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,5,1,3,1,1,1,6,8,1,9,1
lnpsnh4,lnpsnh4,1.0,1,1,8,1,1,1,1,9,1,9,1,2,1,3,3,9,1,3,3,3,10,1,3,11,1,3,1,1,1,9
lnpsnh5,lnpsnh5,1.0,1,1,1,1,1,1,21,1,14,1,1,1,1,6,6,25,1,6,6,9,1,3,6,1,1,6,19,15,15,25
lnpsnh6,lnpsnh6,1.0,2,2,2,1,2,2,2,2,2,2,2,6,2,6,6,11,2,6,6,6,11,2,6,11,5,6,2,2,10,11
lnpsnh7,lnpsnh7,1.0,17,18,18,26,2,2,18,18,18,18,6,14,6,14,14,18,6,14,15,14,21,6,14,23,6,15,18,18,18,18
lnpsnh8,lnpsnh8,1.0,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,1,1,1,1,1,7,11,1,1,1
lnpsnh9,lnpsnh9,1.0,1,1,1,18,1,1,1,1,1,1,2,8,2,8,8,1,2,8,8,8,1,2,8,17,2,8,1,14,16,1
lnpsnh10,lnpsnh10,1.0,2,2,2,1,2,2,2,2,2,2,2,7,2,7,7,2,2,7,7,7,2,2,10,16,2,7,14,13,12,2
lnpsnh11,lnpsnh11,1.0,1,12,1,16,1,1,1,1,12,1,2,1,2,6,4,1,3,6,4,10,1,2,9,1,2,4,12,12,12,1
lnpsnh12,lnpsnh12,1.0,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,13,4,1,6,1,17,3,1,18,3,6,9,11,1,13
lnpsnh13,lnpsnh13,1.0,7,1,1,16,1,1,13,1,8,1,2,1,2,1,1,1,2,5,6,1,1,2,5,1,2,6,9,10,8,1
lnpsnh14,lnpsnh14,1.0,2,11,11,1,2,2,11,11,11,11,2,2,2,2,2,19,2,9,2,9,11,8,9,11,4,2,14,11,11,11
lnpsnh15,lnpsnh15,1.0,1,1,1,15,1,1,1,12,1,12,1,1,1,1,1,12,1,1,1,1,13,5,1,13,1,1,8,1,1,12
lnpsnh16,lnpsnh16,1.0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,13,1,1,1,4,12,1,1,12,1,1,9,1,1,12
lnpsnh17,lnpsnh17,1.0,6,1,1,1,1,1,16,1,9,1,1,1,1,1,1,19,2,3,1,1,1,1,3,18,2,1,9,11,9,19
lnpmh0,lnpmh0,1.0,18,1,1,1,7,7,1,1,1,1,8,1,9,1,1,1,8,1,1,1,30,9,1,1,8,1,22,28,29,1
lnpmh1,lnpmh1,1.0,0,1,1,1,0,0,1,1,1,16,3,0,6,8,0,21,5,0,0,0,17,6,0,17,3,0,0,14,15,19
lnpmh2,lnpmh2,1.0,9,1,1,1,3,3,1,16,1,18,4,1,4,1,1,1,4,1,1,1,24,4,1,22,5,8,0,13,0,1
lnpmsh0,lnpmsh0,1.0,1,1,21,1,1,1,20,23,1,21,1,11,1,11,11,30,4,11,11,11,21,1,11,25,1,11,16,17,14,30
lnpmsh1,lnpmsh1,1.0,12,1,26,38,1,1,1,1,1,32,1,6,1,7,8,1,1,6,6,6,1,1,6,1,1,6,13,15,18,1
lnpmsh2,lnpmsh2,1.0,1,1,20,1,1,1,19,20,1,25,3,1,7,1,1,35,3,1,1,1,28,4,1,28,3,11,16,1,18,35
