id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,2,2,2,8,13,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,5,5,5,5,5,5
mnh0,mnh0,50.0,1,1,1,1,1,1,31,31,1,1,1,1,1,1,1,1,1,10,1,11,1,11,1,1,1,1,1,1,1,9
mnh1,mnh1,50.0,1,1,2,3,3,1,1,1,1,1,3,18,1,3,6,1,1,3,3,15,3,16,10,10,10,10,11,12,10,10
mnh2,mnh2,50.0,1,1,3,3,3,1,1,1,15,15,3,15,15,12,3,15,15,3,3,3,8,3,3,3,3,3,3,5,6,3
mnh3,mnh3,50.0,1,1,3,3,5,1,1,1,1,1,5,1,1,5,6,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10
lpsh0,lpsh0,1.0,1,1,1,1,7,1,1,11,8,8,1,9,8,1,2,8,8,5,5,1,6,1,1,1,1,1,1,1,1,1
lpsnh0,lpsnh0,1.0,1,1,1,1,1,17,1,1,1,1,9,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
lpsnh1,lpsnh1,1.0,1,2,2,2,2,2,18,18,2,2,14,2,2,2,4,2,2,13,13,2,2,2,2,2,11,6,6,8,6,11
lpsnh2,lpsnh2,1.0,1,2,2,2,2,2,2,2,10,10,2,2,2,2,2,2,2,2,2,9,2,9,2,2,2,2,2,5,2,6
lpmh0,lpmh0,1.0,1,1,1,1,1,13,14,14,1,1,1,8,7,1,1,10,7,1,1,1,0,1,0,0,0,0,0,0,0,5
lpmnh0,lpmnh0,1.0,1,2,2,2,2,24,2,2,2,2,2,2,2,2,2,2,2,2,2,17,11,17,6,6,6,6,8,6,6,6
lpmnh1,lpmnh1,1.0,1,1,2,2,2,26,1,1,19,19,2,19,19,2,3,20,21,11,11,12,11,12,6,4,8,8,8,8,8,9
lpmnh2,lpmnh2,1.0,1,2,4,6,6,2,2,29,25,25,6,25,25,6,6,25,25,20,20,23,20,7,13,7,17,17,18,18,17,17
lphh0,lphh0,1.0,1,1,1,1,1,26,1,1,0,0,20,0,0,19,1,24,25,1,1,1,1,1,8,8,0,0,0,0,16,18
lphnh0,lphnh0,1.0,1,1,1,1,1,41,42,1,35,36,33,38,39,30,8,39,39,4,4,4,4,4,9,4,23,4,4,4,13,20
lphnh1,lphnh1,1.0,1,2,9,11,11,52,54,54,2,2,12,48,48,12,16,48,48,12,12,46,12,46,19,19,43,29,28,24,42,43
lphnh2,lphnh2,1.0,1,1,1,3,69,1,79,79,1,1,65,1,1,59,6,78,76,55,26,58,53,3,29,29,47,50,49,47,47,47
lnpsh0,lnpsh0,1.0,1,1,1,1,1,11,11,11,11,11,1,11,11,1,1,12,12,7,9,3,7,10,4,4,4,4,6,4,4,4
lnpsh1,lnpsh1,1.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,5,5,5,5,5,5,5,5
lnpsh2,lnpsh2,1.0,5,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lnpsnh0,lnpsnh0,1.0,1,1,1,1,1,14,14,16,15,15,5,15,15,5,5,15,15,5,5,5,5,5,9,9,5,5,12,5,5,5
lnpsnh1,lnpsnh1,1.0,10,1,1,2,2,1,1,1,7,7,3,1,1,3,3,1,9,3,3,3,3,3,3,3,3,6,5,3,3,3
lnpsnh2,lnpsnh2,1.0,1,1,1,1,2,1,1,1,7,7,2,7,7,2,2,7,8,2,2,2,2,2,2,2,2,2,3,2,2,5
lnpsnh3,lnpsnh3,1.0,1,3,3,3,3,12,3,3,9,9,3,9,9,3,5,9,9,3,3,3,3,3,3,3,3,3,3,3,7,3
lnpsnh4,lnpsnh4,1.0,1,1,1,15,1,1,1,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
lnpsnh5,lnpsnh5,1.0,1,1,1,1,4,1,1,1,1,1,4,1,1,4,5,17,1,4,13,14,4,14,6,4,4,4,4,9,4,4
lnpsnh6,lnpsnh6,1.0,1,1,1,1,1,8,1,1,8,8,1,8,8,1,4,8,8,1,1,1,1,7,1,1,1,1,1,1,1,1
lnpsnh7,lnpsnh7,1.0,1,18,1,1,17,19,22,21,19,19,16,19,19,1,1,19,19,4,4,13,4,15,4,4,11,5,5,10,5,11
lnpsnh8,lnpsnh8,1.0,1,3,12,3,3,3,3,19,15,15,3,3,3,3,3,3,3,9,5,5,5,5,5,5,5,5,5,7,5,5
lnpsnh9,lnpsnh9,1.0,1,12,2,2,2,12,12,14,13,13,2,12,12,3,2,12,12,3,3,3,3,3,6,3,3,3,9,11,3,3
lnpsnh10,lnpsnh10,1.0,1,1,1,1,8,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lnpsnh11,lnpsnh11,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6
lnpsnh12,lnpsnh12,1.0,1,1,10,1,3,11,1,1,1,1,3,1,1,4,3,1,1,4,4,4,7,4,4,5,4,4,4,4,4,6
lnpsnh13,lnpsnh13,1.0,1,2,2,2,2,2,2,2,6,7,2,6,6,2,2,6,6,2,2,2,2,2,3,3,3,5,3,4,3,3
lnpsnh14,lnpsnh14,1.0,1,1,4,1,1,1,1,1,1,1,1,7,7,1,1,8,8,1,1,1,1,1,1,1,1,1,2,1,1,1
lnpsnh15,lnpsnh15,1.0,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,12,1,1,1,8,9,3,3,3,5,5,7,5,3
lnpsnh16,lnpsnh16,1.0,1,1,1,1,1,14,14,14,14,14,13,14,14,12,1,14,14,11,10,3,10,3,4,4,4,4,4,4,4,4
lnpsnh17,lnpsnh17,1.0,1,9,21,9,9,22,26,29,22,22,11,23,23,11,11,23,23,19,19,11,19,11,15,15,11,11,11,11,11,11
lnpmh0,lnpmh0,1.0,1,18,5,5,5,5,5,5,5,5,5,12,12,5,8,12,16,5,5,5,5,5,9,9,9,9,9,9,9,9
lnpmh1,lnpmh1,1.0,1,27,1,1,19,20,1,1,22,22,3,22,22,15,3,22,25,3,13,3,3,14,3,3,3,3,3,3,10,3
lnpmh2,lnpmh2,1.0,1,4,4,9,9,4,4,4,25,24,11,24,24,11,11,24,24,11,11,0,11,0,11,11,11,11,11,13,11,18
lnpmsh0,lnpmsh0,1.0,1,1,8,1,1,9,9,9,9,13,1,9,9,1,1,9,9,3,3,7,3,7,3,3,3,3,3,3,3,3
lnpmsh1,lnpmsh1,1.0,1,1,1,3,22,25,1,1,25,26,7,25,25,7,7,27,31,7,7,7,7,7,7,10,7,7,11,11,7,18
