id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,52,27,38,41,33,27,27,44,33,27,48,38,1,27,27,27,27,27,46,27,27,32,33,45,38,0,33,27,27,27
mh1,mh1,50.0,15,15,8,1,1,1,16,1,1,1,1,6,1,1,1,1,1,15,1,3,16,1,0,12,6,1,1,1,1,16
mh2,mh2,50.0,15,0,1,10,11,1,16,1,1,1,1,4,1,1,0,1,1,24,1,1,15,3,1,1,4,7,1,1,14,20
mh3,mh3,50.0,20,20,3,3,3,3,20,9,9,12,12,3,1,1,3,3,3,3,14,3,20,0,6,12,3,3,9,17,12,20
mnh0,mnh0,50.0,30,1,1,10,10,1,28,18,17,1,1,7,1,1,19,1,1,33,20,1,1,1,1,1,7,9,17,20,1,1
mnh1,mnh1,50.0,1,1,8,1,1,2,18,1,1,1,1,1,1,1,1,1,5,1,1,1,18,1,1,1,1,1,1,15,1,18
mnh2,mnh2,50.0,1,1,1,1,1,1,1,1,1,12,12,4,1,1,1,1,1,1,10,1,1,1,1,1,4,4,1,1,12,1
mnh3,mnh3,50.0,17,18,1,1,6,3,16,8,9,10,10,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,9,1,10,12
mnh4,mnh4,50.0,27,2,2,2,2,5,2,2,2,2,2,2,1,2,15,2,2,2,21,5,2,5,2,18,2,2,2,2,2,2
mnh5,mnh5,50.0,25,25,1,1,1,3,26,14,1,20,1,1,1,1,1,1,1,25,17,3,25,6,1,1,1,1,1,1,1,26
mnh6,mnh6,50.0,3,3,6,6,6,4,3,6,6,3,3,6,1,3,3,3,6,3,11,4,3,5,6,3,6,6,6,11,3,3
mnh7,mnh7,50.0,27,1,13,14,16,1,25,14,14,24,1,10,1,1,1,1,7,1,23,1,25,5,14,1,10,9,21,1,1,25
mnh8,mnh8,50.0,1,1,11,17,17,1,1,17,17,1,1,7,1,1,21,1,5,1,1,1,1,1,17,1,6,5,17,1,1,1
mnh9,mnh9,50.0,1,1,14,15,15,6,36,15,15,29,29,1,1,1,23,1,13,1,1,3,35,5,15,25,1,1,15,1,30,1
mnh10,mnh10,50.0,39,40,1,10,10,5,35,12,12,31,30,1,1,1,15,1,1,35,1,1,35,8,10,1,1,1,12,21,30,35
mnh11,mnh11,50.0,18,19,8,8,8,6,18,8,8,12,2,9,1,2,2,2,2,18,2,2,18,2,8,2,8,8,8,2,2,18
mnh12,mnh12,50.0,29,34,6,8,8,1,26,8,8,1,1,6,1,1,1,13,5,18,1,1,21,4,8,10,6,6,8,11,1,18
mnh13,mnh13,50.0,12,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,9,1,1,4,1,9,1,1,1,9,9,1
mnh14,mnh14,50.0,13,16,2,2,2,5,11,2,2,7,7,6,1,1,2,1,2,10,9,2,10,2,2,8,2,2,2,7,7,11
mnh15,mnh15,50.0,8,8,8,8,8,10,8,8,8,8,8,8,1,8,8,8,8,29,22,11,8,12,8,8,8,8,8,19,8,8
lpsh0,lpsh0,1.0,27,28,6,6,6,4,24,11,11,1,16,6,1,1,1,17,5,18,1,0,19,0,6,1,6,6,11,15,1,22
lpsh1,lpsh1,1.0,6,39,13,13,13,6,38,13,13,20,20,14,1,3,6,33,6,6,20,6,37,6,13,20,14,18,13,20,20,38
lpsh2,lpsh2,1.0,14,14,4,11,13,1,29,1,1,0,24,5,1,1,1,14,1,14,0,1,14,1,1,0,5,4,1,0,0,14
lpsh3,lpsh3,1.0,0,49,54,49,49,49,77,49,49,72,72,53,1,49,49,59,49,49,63,49,77,49,49,63,53,53,49,67,72,77
lpsnh0,lpsnh0,1.0,22,1,1,1,10,5,20,1,1,17,16,6,1,1,1,1,1,1,13,3,1,4,1,1,6,1,1,13,16,20
lpsnh1,lpsnh1,1.0,24,25,1,11,11,5,21,1,1,18,18,1,1,1,1,1,1,19,1,1,21,1,1,1,10,1,1,17,18,21
lpsnh2,lpsnh2,1.0,32,32,11,9,9,3,32,9,9,30,30,9,1,2,2,2,9,32,19,5,32,8,9,16,9,9,9,2,30,32
lpsnh3,lpsnh3,1.0,1,1,1,9,1,1,29,11,11,12,12,1,1,1,1,26,1,1,12,3,1,1,1,16,1,1,11,12,12,29
lpsnh4,lpsnh4,1.0,28,24,11,5,12,8,5,5,5,5,19,5,1,5,5,22,5,5,5,5,5,5,5,5,5,5,5,15,20,5
lpsnh5,lpsnh5,1.0,20,23,6,4,12,4,20,4,14,1,1,7,1,1,1,1,4,20,1,5,20,4,13,1,6,6,15,1,1,20
lpsnh6,lpsnh6,1.0,15,19,1,6,1,1,18,1,1,11,11,1,1,1,1,13,1,22,1,2,17,1,1,8,1,1,1,1,11,18
lpsnh7,lpsnh7,1.0,27,22,1,1,1,5,1,1,10,1,1,1,1,1,1,1,6,1,20,1,1,1,1,1,1,1,10,18,1,1
lpsnh8,lpsnh8,1.0,1,14,4,8,8,2,1,4,4,1,1,6,1,1,1,12,4,1,1,1,1,1,4,9,6,6,4,10,1,1
lpsnh9,lpsnh9,1.0,28,28,20,21,14,14,28,14,27,28,28,19,1,14,14,32,14,36,28,17,28,14,14,28,19,14,14,28,28,28
lpsnh10,lpsnh10,1.0,26,26,2,12,14,10,30,2,2,19,19,11,1,2,2,19,2,26,19,7,26,10,2,19,11,2,2,24,19,26
lpsnh11,lpsnh11,1.0,1,1,3,3,3,4,14,3,3,9,9,3,1,1,1,1,3,1,1,4,12,4,3,1,3,3,3,1,9,14
lpmh0,lpmh0,1.0,108,91,21,24,84,5,93,86,86,88,3,19,1,3,3,89,17,91,3,5,93,5,24,3,18,3,86,3,3,104
lpmh1,lpmh1,1.0,41,3,17,0,20,4,3,0,0,3,3,12,45,43,3,3,5,3,33,3,37,3,0,3,12,8,0,29,3,3
lpmh2,lpmh2,1.0,77,59,20,38,58,17,59,25,25,0,0,22,1,2,2,61,18,80,61,12,59,2,25,64,22,20,25,61,0,74
lpmh3,lpmh3,1.0,29,29,0,0,15,1,29,17,17,1,28,12,1,1,1,1,8,29,25,1,29,1,0,19,9,13,17,1,1,32
lpmnh0,lpmnh0,1.0,46,46,2,2,2,5,42,17,17,2,2,14,1,2,2,2,12,48,21,2,42,2,2,25,2,2,17,21,2,42
lpmnh1,lpmnh1,1.0,79,82,6,7,7,1,80,1,1,74,74,3,1,1,1,1,1,79,46,1,79,1,1,44,1,1,1,45,74,79
lpmnh2,lpmnh2,1.0,1,1,4,4,4,8,1,4,4,1,1,19,1,1,22,1,13,1,29,5,37,6,4,25,4,4,4,27,1,38
lpmnh3,lpmnh3,1.0,1,32,10,17,3,6,31,18,18,23,22,13,1,1,19,1,3,1,1,3,25,3,3,1,13,10,18,20,21,26
lpmnh4,lpmnh4,1.0,41,41,1,12,14,3,41,1,1,31,33,9,1,1,1,16,5,41,20,3,46,3,11,16,9,1,1,21,33,47
lpmnh5,lpmnh5,1.0,56,56,18,19,24,10,56,7,27,33,7,7,1,7,7,7,7,60,32,10,56,10,19,28,7,7,7,31,7,59
lpmnh6,lpmnh6,1.0,47,46,17,22,22,14,4,8,8,26,26,19,1,4,8,39,8,4,26,11,4,15,8,29,19,17,8,35,26,4
lpmnh7,lpmnh7,1.0,32,32,22,24,27,15,32,1,1,32,32,19,1,1,1,43,1,32,33,4,32,18,1,35,19,19,1,36,32,32
lpmnh8,lpmnh8,1.0,21,21,10,12,9,8,21,16,9,20,17,10,1,1,5,5,6,21,5,7,24,6,9,5,10,10,9,5,5,21
lpmnh9,lpmnh9,1.0,7,7,17,20,7,12,7,7,7,7,29,18,1,1,7,7,13,48,26,9,42,11,7,24,17,17,7,25,40,7
lpmnh10,lpmnh10,1.0,17,17,18,18,18,18,57,32,18,43,44,27,1,17,18,17,23,17,34,18,17,18,30,34,27,27,18,39,43,55
lpmnh11,lpmnh11,1.0,36,32,1,14,14,5,32,18,16,25,1,1,1,1,1,28,1,37,23,1,32,1,14,1,1,1,14,23,1,32
lphh0,lphh0,1.0,0,79,24,30,30,1,63,1,38,0,0,0,1,1,39,61,1,1,50,4,1,1,34,46,0,1,1,53,0,69
lphh1,lphh1,1.0,0,2,11,37,33,5,2,11,11,2,60,25,1,1,3,2,12,68,2,0,2,10,41,46,18,29,11,0,61,2
lphh2,lphh2,1.0,81,68,25,38,38,11,80,47,40,53,63,23,1,1,51,53,16,68,53,9,73,6,38,53,20,24,40,0,65,78
lphh3,lphh3,1.0,74,48,22,23,0,1,73,31,30,0,0,7,1,1,32,1,5,48,40,2,50,4,23,35,7,15,30,1,0,68
lphnh0,lphnh0,1.0,77,93,32,43,43,23,75,40,40,54,54,34,1,1,51,1,32,97,56,19,71,28,50,54,35,36,40,55,54,71
lphnh1,lphnh1,1.0,105,110,30,33,33,15,103,17,40,76,71,29,1,1,1,43,16,1,43,11,85,11,36,57,29,24,17,43,70,103
lphnh2,lphnh2,1.0,1,111,22,36,39,13,84,44,50,75,73,16,1,1,1,78,1,113,71,4,1,9,40,58,16,16,51,62,73,80
lphnh3,lphnh3,1.0,95,115,23,32,33,10,94,38,6,42,42,21,1,3,41,42,6,88,44,6,93,17,6,50,21,6,6,56,67,94
lphnh4,lphnh4,1.0,64,64,48,57,55,13,94,60,60,74,74,29,1,1,63,67,1,99,67,6,64,25,55,70,29,29,60,67,74,90
lphnh5,lphnh5,1.0,79,79,43,46,46,16,114,19,54,4,76,21,1,4,4,4,14,79,68,14,80,18,48,64,21,22,57,66,4,111
lphnh6,lphnh6,1.0,79,102,25,31,6,15,98,6,36,65,58,29,1,5,5,68,21,77,40,10,79,15,6,55,25,25,36,40,58,97
lphnh7,lphnh7,1.0,74,78,26,33,17,5,67,39,37,57,49,17,1,79,5,63,5,67,2,10,71,14,17,44,17,17,37,2,52,73
lphnh8,lphnh8,1.0,67,69,24,2,2,12,63,2,2,47,54,19,1,2,34,2,2,60,43,5,63,17,30,38,18,2,33,43,48,63
lphnh9,lphnh9,1.0,135,136,10,27,62,14,130,26,26,80,78,22,1,1,68,122,17,70,71,10,70,11,65,72,10,10,26,71,78,70
lphnh10,lphnh10,1.0,100,94,28,33,20,15,90,35,20,69,63,21,1,1,36,1,4,71,1,7,75,7,34,43,21,22,20,45,55,89
lphnh11,lphnh11,1.0,91,137,20,24,31,12,78,38,40,56,58,19,1,1,5,3,6,74,54,8,77,16,36,51,19,18,38,44,56,87
lnpsh0,lnpsh0,1.0,1,28,4,4,4,2,1,4,21,1,1,7,1,1,1,1,2,1,1,2,1,2,12,22,6,9,4,1,26,1
lnpsh1,lnpsh1,1.0,15,21,1,3,4,1,16,1,1,12,12,0,1,1,1,6,1,15,6,1,16,1,5,7,0,0,1,9,12,16
lnpsh2,lnpsh2,1.0,0,27,4,3,3,1,1,6,15,1,1,4,1,1,1,1,3,28,1,1,1,1,3,21,4,4,6,1,1,26
lnpsh3,lnpsh3,1.0,16,17,3,3,3,5,2,3,3,14,2,7,1,1,3,2,0,2,2,4,2,5,3,2,3,3,3,2,2,2
lnpsh4,lnpsh4,1.0,19,1,6,12,11,3,1,11,11,17,17,7,1,1,1,13,3,1,13,3,1,5,11,13,7,7,11,16,17,1
lnpsh5,lnpsh5,1.0,15,1,2,5,3,2,1,2,2,11,11,2,1,1,1,0,2,1,10,2,1,2,3,9,2,2,2,9,11,1
lnpsh6,lnpsh6,1.0,1,27,6,8,6,3,1,6,6,17,10,7,1,1,1,26,1,1,14,1,1,4,6,11,7,7,6,10,16,1
lnpsh7,lnpsh7,1.0,25,1,6,8,7,3,23,7,7,19,19,3,1,1,3,9,3,1,9,4,22,3,7,9,3,3,7,9,19,1
lnpsh8,lnpsh8,1.0,2,2,2,8,2,5,2,2,2,2,2,2,1,2,2,22,0,2,2,5,2,5,14,2,2,2,2,17,20,2
lnpsh9,lnpsh9,1.0,62,62,7,1,1,4,62,13,9,16,16,7,1,1,14,1,1,62,0,3,62,4,8,54,7,7,1,58,16,62
lnpsh10,lnpsh10,1.0,24,23,5,0,10,1,1,8,8,21,18,5,1,1,1,1,5,1,1,1,1,1,0,15,5,5,8,1,19,1
lnpsh11,lnpsh11,1.0,1,1,1,10,10,1,0,15,0,1,1,7,1,1,1,28,6,1,1,1,1,1,9,0,7,7,12,27,1,1
lnpsnh0,lnpsnh0,1.0,1,1,1,1,1,4,1,8,8,1,1,1,18,1,1,1,1,1,1,4,1,4,6,1,1,1,8,1,1,1
lnpsnh1,lnpsnh1,1.0,1,42,29,31,30,22,1,32,32,1,1,26,1,1,34,1,1,1,36,22,1,24,30,1,1,1,32,1,1,41
lnpsnh2,lnpsnh2,1.0,11,15,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1
lnpsnh3,lnpsnh3,1.0,1,30,1,1,12,2,1,1,1,16,16,8,1,1,1,16,1,1,16,2,18,2,1,16,9,8,15,16,16,1
lnpsnh4,lnpsnh4,1.0,2,2,2,2,2,8,2,2,2,2,2,11,1,2,15,2,10,2,2,5,2,7,2,2,11,2,2,2,21,27
lnpsnh5,lnpsnh5,1.0,14,14,1,1,1,5,23,1,1,1,1,1,1,1,1,12,1,1,1,3,21,7,1,1,1,1,10,1,1,23
lnpsnh6,lnpsnh6,1.0,18,32,6,8,9,5,18,14,12,21,21,6,1,1,15,29,4,18,21,5,18,5,6,21,6,6,12,21,21,18
lnpsnh7,lnpsnh7,1.0,1,14,1,1,1,1,1,1,1,10,10,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,10,1
lnpsnh8,lnpsnh8,1.0,3,3,6,8,7,4,3,7,7,13,11,5,1,3,3,11,4,3,11,4,19,4,7,11,5,4,7,11,11,3
lnpsnh9,lnpsnh9,1.0,5,30,9,5,5,7,26,5,13,22,5,5,1,5,5,5,5,5,5,6,5,6,5,15,5,5,5,5,19,24
lnpsnh10,lnpsnh10,1.0,1,1,3,1,7,1,1,1,1,9,9,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,8,14,1
lnpsnh11,lnpsnh11,1.0,1,13,3,4,4,1,1,9,3,1,10,3,1,14,1,1,1,1,1,1,1,1,4,1,3,3,3,1,1,11
lnpsnh12,lnpsnh12,1.0,22,27,11,2,2,2,2,2,2,19,21,7,1,1,2,2,2,2,17,2,2,2,2,2,7,2,2,17,21,2
lnpsnh13,lnpsnh13,1.0,19,20,3,3,3,6,3,3,3,3,3,8,1,3,3,3,3,3,3,6,3,6,3,3,8,3,3,3,3,18
lnpsnh14,lnpsnh14,1.0,36,36,23,27,28,16,41,1,1,1,1,21,1,1,31,1,1,36,32,13,39,15,1,1,18,1,1,1,1,36
lnpsnh15,lnpsnh15,1.0,2,16,7,2,2,5,2,2,2,15,15,8,1,2,2,11,2,2,13,3,2,3,2,13,7,7,2,13,15,2
lnpsnh16,lnpsnh16,1.0,1,1,6,11,11,3,1,6,6,1,1,10,1,1,1,15,1,23,1,1,1,1,11,1,8,6,6,1,1,16
lnpsnh17,lnpsnh17,1.0,1,1,6,11,13,1,23,15,15,21,1,1,1,1,17,1,1,1,1,1,1,1,11,1,1,5,15,1,1,23
lnpsnh18,lnpsnh18,1.0,2,2,2,2,7,2,17,2,2,2,2,5,1,2,2,2,2,2,2,4,17,2,8,2,2,2,2,14,16,18
lnpsnh19,lnpsnh19,1.0,27,27,16,2,2,11,28,20,20,2,25,2,1,2,2,2,13,2,2,10,28,10,19,21,2,2,20,23,2,28
lnpsnh20,lnpsnh20,1.0,1,1,1,1,1,1,1,1,1,1,13,10,1,1,1,1,5,1,1,1,14,1,1,1,1,1,1,1,1,1
lnpsnh21,lnpsnh21,1.0,1,26,1,10,10,6,1,10,11,16,16,1,1,1,1,22,1,1,16,1,1,5,10,18,9,1,10,16,16,23
lnpsnh22,lnpsnh22,1.0,1,1,14,16,16,8,29,23,16,1,1,11,1,1,1,1,1,1,1,5,1,5,16,1,11,11,16,27,1,1
lnpsnh23,lnpsnh23,1.0,1,1,1,12,9,1,20,1,1,1,1,1,1,1,1,1,1,1,1,5,20,1,9,17,1,1,16,1,1,20
lnpsnh24,lnpsnh24,1.0,24,1,6,1,1,3,1,1,1,1,1,5,1,1,15,1,1,1,21,3,1,3,1,18,5,5,1,1,1,1
lnpsnh25,lnpsnh25,1.0,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,3,1,1,1,1
lnpsnh26,lnpsnh26,1.0,29,56,9,12,19,3,30,1,1,1,28,8,1,1,1,1,1,1,1,1,29,1,1,1,6,1,1,25,1,29
lnpsnh27,lnpsnh27,1.0,1,1,4,4,4,2,1,4,4,7,7,5,1,1,1,1,4,1,1,2,1,2,4,1,4,4,4,1,7,1
lnpsnh28,lnpsnh28,1.0,1,1,8,10,11,2,1,14,14,20,19,7,1,1,1,1,1,1,15,1,1,2,10,15,1,1,14,15,19,21
lnpsnh29,lnpsnh29,1.0,14,15,1,4,1,1,1,1,1,1,8,1,1,1,1,1,1,1,7,1,1,1,6,1,1,1,1,1,8,1
lnpsnh30,lnpsnh30,1.0,1,1,1,1,1,2,1,6,1,9,12,1,1,1,1,1,1,1,1,1,15,1,1,8,1,1,1,1,13,1
lnpsnh31,lnpsnh31,1.0,16,16,1,5,6,2,16,1,8,1,1,3,1,1,1,1,1,16,1,2,16,2,7,1,3,4,12,1,1,16
lnpsnh32,lnpsnh32,1.0,1,28,9,1,13,6,1,1,1,1,21,1,1,1,1,1,1,30,16,4,25,4,15,1,1,1,1,16,1,1
lnpsnh33,lnpsnh33,1.0,15,15,6,1,1,1,15,1,13,15,15,5,1,1,1,16,1,15,15,1,15,3,1,15,5,4,1,15,15,15
lnpsnh34,lnpsnh34,1.0,1,1,5,18,19,9,1,5,5,20,20,15,1,1,1,22,5,1,20,5,1,5,5,20,15,16,5,20,21,1
lnpsnh35,lnpsnh35,1.0,24,24,9,6,6,5,24,6,6,16,16,6,1,1,1,19,6,24,13,5,24,5,11,1,6,8,6,13,16,24
lnpsnh36,lnpsnh36,1.0,1,1,3,6,7,1,1,9,3,1,1,3,1,1,11,1,1,1,1,1,1,1,8,1,3,3,3,1,1,18
lnpsnh37,lnpsnh37,1.0,32,32,12,15,12,1,32,20,19,27,27,14,1,1,22,1,10,37,1,1,32,1,12,24,14,14,19,1,27,33
lnpsnh38,lnpsnh38,1.0,2,26,2,8,9,2,2,16,13,20,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,19,2
lnpsnh39,lnpsnh39,1.0,16,1,2,5,6,2,1,9,9,1,1,2,1,1,1,1,2,1,1,2,1,2,5,12,2,2,9,1,1,1
lnpsnh40,lnpsnh40,1.0,1,1,1,15,17,9,1,25,15,32,1,14,1,1,1,1,1,1,28,4,1,4,22,27,1,1,15,28,1,1
lnpsnh41,lnpsnh41,1.0,1,20,1,5,8,2,16,5,11,1,13,1,1,1,1,1,1,1,1,1,14,2,5,1,1,1,5,1,1,17
lnpsnh42,lnpsnh42,1.0,32,32,7,6,6,1,32,6,12,30,30,8,1,1,1,1,1,1,1,3,32,1,6,1,8,9,6,18,30,32
lnpsnh43,lnpsnh43,1.0,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,13,3,3,3,3,3,8,3,9,3,3,3,10,3,15
