id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,1,2,1,1,1,1,1,1,1,4,4,6,1,4,4,1,4,4,4,4,4,4,4,4,4,4,1,10,10
mnh0,mnh0,50.0,1,2,2,2,4,2,2,2,2,2,6,6,6,2,6,6,2,6,6,6,6,6,6,6,6,6,6,2,2,2
mnh1,mnh1,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1
mnh2,mnh2,50.0,1,1,3,3,3,3,3,3,4,3,3,3,3,3,11,11,3,3,3,9,3,3,3,3,3,3,3,3,3,3
mnh3,mnh3,50.0,1,1,1,1,1,1,1,1,1,1,2,2,2,5,2,2,5,2,2,2,2,2,2,2,2,2,3,5,5,5
lpsh0,lpsh0,1.0,1,4,4,4,4,4,4,4,4,4,8,8,8,4,8,8,4,8,10,8,8,8,8,8,8,8,8,4,12,4
lpsnh0,lpsnh0,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,12,2,2,12,9,9,9,9,9,10,9,9,9,9,12,12,12
lpsnh1,lpsnh1,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,2
lpsnh2,lpsnh2,1.0,13,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,1,1,1,1,8,1,1
lpmh0,lpmh0,1.0,0,2,2,2,2,4,6,6,7,9,6,10,6,6,6,0,6,25,6,6,6,6,6,12,0,23,6,6,6,6
lpmnh0,lpmnh0,1.0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,6,13,6,8,7,2,2,2,13,2,2,2
lpmnh1,lpmnh1,1.0,1,25,3,3,3,3,3,3,4,3,3,3,3,3,11,12,3,9,3,3,3,3,6,3,3,3,3,22,3,3
lpmnh2,lpmnh2,1.0,1,1,1,1,1,1,12,1,1,1,1,1,1,12,11,11,14,1,1,1,1,1,1,1,1,1,1,12,12,12
lphh0,lphh0,1.0,1,1,1,1,6,8,36,12,0,0,13,13,13,37,32,32,0,21,19,30,19,19,19,19,20,19,24,0,0,39
lphnh0,lphnh0,1.0,1,1,6,3,10,11,23,23,23,23,79,30,32,23,75,75,23,71,63,73,30,60,30,68,30,69,30,23,81,83
lphnh1,lphnh1,1.0,1,1,5,51,5,5,9,13,13,13,20,20,20,49,37,41,47,29,25,31,25,25,25,25,25,27,33,47,47,50
lphnh2,lphnh2,1.0,1,1,1,1,1,1,4,4,9,11,12,12,12,31,12,28,31,12,12,26,14,12,12,15,16,21,12,31,33,33
lnpsh0,lnpsh0,1.0,1,1,3,3,3,3,3,3,3,3,0,0,0,17,0,0,17,0,0,7,4,6,0,0,0,0,0,17,17,17
lnpsh1,lnpsh1,1.0,1,3,3,3,3,3,3,0,0,0,0,5,6,3,12,12,3,6,6,6,8,9,9,6,6,6,6,3,3,3
lnpsh2,lnpsh2,1.0,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,5,6,1,1,3,1,1,1,1,1,1,3,6,6,6
lnpsnh0,lnpsnh0,1.0,9,1,1,1,1,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,3,3
lnpsnh1,lnpsnh1,1.0,1,1,3,2,3,3,3,3,3,6,3,3,3,16,3,15,16,3,3,10,3,3,3,8,3,3,11,16,16,16
lnpsnh2,lnpsnh2,1.0,1,1,3,1,1,1,1,1,1,1,1,1,1,7,5,5,7,1,1,1,1,1,1,1,1,1,1,7,7,7
lnpsnh3,lnpsnh3,1.0,1,1,1,1,1,1,1,1,3,3,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,1
lnpsnh4,lnpsnh4,1.0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,6,2,8,2,2,2,13
lnpsnh5,lnpsnh5,1.0,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,6,6,6,6,6,6
lnpsnh6,lnpsnh6,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lnpsnh7,lnpsnh7,1.0,1,19,1,18,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,5,1,1,16,16,16
lnpsnh8,lnpsnh8,1.0,1,3,3,13,3,3,6,6,7,6,6,6,6,6,6,6,12,6,6,6,6,6,6,6,6,6,6,12,12,12
lnpsnh9,lnpsnh9,1.0,1,1,2,2,2,4,5,5,5,5,12,5,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5
lnpsnh10,lnpsnh10,1.0,1,1,3,2,2,2,2,2,2,2,2,2,2,7,2,2,8,2,2,2,2,2,2,2,2,2,2,8,8,8
lnpsnh11,lnpsnh11,1.0,21,1,2,2,2,2,4,4,4,4,4,4,4,4,13,15,4,4,9,4,8,8,8,4,4,10,11,4,4,4
lnpsnh12,lnpsnh12,1.0,1,21,1,1,1,5,5,5,5,5,6,6,6,5,6,6,5,18,17,17,17,17,17,17,17,17,17,5,5,5
lnpsnh13,lnpsnh13,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,13,1,3,1,1,1,1,1,1,6,1,13,11,11
lnpsnh14,lnpsnh14,1.0,1,1,1,1,1,1,1,1,1,1,9,9,9,13,9,9,13,9,9,9,9,9,9,9,9,9,9,14,13,13
lnpsnh15,lnpsnh15,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,4,1,1,1,7,1,1,1,1
lnpsnh16,lnpsnh16,1.0,1,2,3,17,3,3,3,3,3,3,3,3,3,14,13,13,14,3,5,12,5,5,10,5,5,5,3,14,14,14
lnpsnh17,lnpsnh17,1.0,1,1,6,6,6,6,6,6,6,6,6,6,11,6,15,15,17,11,11,11,11,11,11,11,11,11,11,17,17,17
