id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0
mh1,mh1,50.0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,3,3,1,1,1,5,1,3,1,7,1,1,5
mh2,mh2,50.0,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1
mh3,mh3,50.0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mh4,mh4,50.0,1,1,1,3,1,3,3,3,6,3,5,3,3,7,3,3,3,3,3,7,7,7,17,8,3,7,23,7,7,3
mh5,mh5,50.0,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,8,1,1,1,1,1,8,1,1,1,8,1,1,9
mh6,mh6,50.0,1,1,1,1,7,1,1,1,1,8,8,1,1,1,1,1,1,1,1,1,1,1,1,11,17,12,0,1,1,1
mh7,mh7,50.0,1,2,2,2,5,2,2,2,2,2,2,2,2,7,10,10,2,10,10,7,7,7,2,7,10,7,2,7,7,2
mh8,mh8,50.0,1,1,1,1,1,1,1,1,1,1,1,1,6,4,6,6,6,6,6,4,4,4,6,4,6,4,13,4,4,6
mh9,mh9,50.0,1,1,1,1,2,1,1,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,10,5,5,8,10,5,5,0
mh10,mh10,50.0,1,1,1,1,2,1,1,1,1,1,1,3,0,1,0,0,0,0,0,1,1,1,0,7,0,1,0,1,1,0
mh11,mh11,50.0,1,3,3,3,3,5,13,5,5,5,5,5,8,5,7,7,7,7,7,5,5,5,7,5,11,5,7,5,5,7
mnh0,mnh0,50.0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,5,15,5,5,14
mnh1,mnh1,50.0,1,2,2,5,2,5,5,5,5,5,5,5,5,5,5,5,15,5,5,5,5,5,15,8,5,10,15,5,5,15
mnh2,mnh2,50.0,1,2,1,1,1,3,13,12,6,5,5,6,6,9,6,6,6,6,6,9,9,10,6,9,6,9,6,10,9,6
