id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,2,2,2,10,10,2,0,10,10,30,30,8,1,2,2,2,2,2,29,4,0,2,10,25,8,9,10,26,30,0
mnh0,mnh0,50.0,50,1,1,1,11,9,24,13,13,1,1,1,57,1,1,1,1,1,1,5,1,8,1,15,1,1,13,19,1,22
mnh1,mnh1,50.0,18,21,10,1,1,6,1,1,1,15,1,10,1,26,14,1,1,1,1,1,16,4,1,1,10,11,1,1,1,1
mnh2,mnh2,50.0,8,8,8,13,16,8,34,13,18,32,26,8,1,3,8,8,8,8,26,8,8,11,13,26,8,8,13,31,26,8
lpsh0,lpsh0,1.0,0,0,0,0,0,10,0,15,15,0,0,0,0,0,0,0,0,0,0,7,0,11/12,0,16,0,0,15,0,0,20
lpsnh0,lpsnh0,1.0,36,36,2,14,2/19,3,45,2,22,32/30,30,2,1,1,2/23,2,2,36,29,3,36,3,2/20,24,2,2,2,24,32/30,36/37
lpsnh1,lpsnh1,1.0,3,3,9,3,19,8,3,21,21,31,31,11/13/14,1,3,3,3,3,3,30,3,32/3,3/8,3,3,9/11,9,21,28,31,3
lpsnh2,lpsnh2,1.0,29,28,10,1,1,1,1,1,1,22,22,5,1,1,1,1,3,1,1/17,1,1,1,11,16,5,5,1,1/19,22,1
lpmh0,lpmh0,1.0,1,0,22,24,24,11,51,35,1,39,39,18,0,1,1,1,17,1,37,6/8,0,15,31,0,1,1,1,37,48/0,50
lpmnh0,lpmnh0,1.0,1,1,1,1,1/12,1,1,23,23,1,1/29,8,1,1,1,1,1,1,27,1,1,6,1/14,25,1,1,23/24,1,1,37
lpmnh1,lpmnh1,1.0,39,39,2,2,21,7,39,2,22,34/27,27,14,1,1/2,25/26,2,10,3/39,31,4,39,7,2,27/28,2,16,22,29,27,39
lpmnh2,lpmnh2,1.0,36,38,1,1/6,8,2,32,12,17,1,26/27,3/4,1,1,1/18,29/31,1,32,1/24,2,32,2,1,22/23,3,1,12,1,1/28,32
lphh0,lphh0,1.0,177,141,94,120,5,0/23,144/143,5,5,128,128,89,1,181,5,5,28,180/141,136,0,141,0,124,130,89,87,126,0/133,0,141
lphnh0,lphnh0,1.0,2/59,60,4,4,4,14,49,29/31,4,34,45,23,63,2,2,2,4,2,37,4/6/8,49,14,4,35,19,25/26/27,4,39,34,49/55
lphnh1,lphnh1,1.0,1,1,1,10,20,2,42,22,22,30,30,9,1,1,26,39/27,1,43/44,35,2,42,2,1,35,7,7,22/25,35,30,42
lphnh2,lphnh2,1.0,110,113,36,64/63,54,30,99,77,68,94,91,41,1,14,20/78,20,34,114/116,88,26,101/102,31,54,20,36/37,45,70,86,91,99
lnpsh0,lnpsh0,1.0,0,1,1,1,1,1,45,1,1,37,1,1,1,1,1,1,1,1,1,1,1,1,7,23,1,1,1,33,1,42
lnpsh1,lnpsh1,1.0,25,1,12,10,10,2,22,10,10,20,20,11,1,1,1,1,1,1,1,2,22,2,10,1,11,11,10,15,20,22
lnpsnh0,lnpsnh0,1.0,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,11,2,1,1,1,12,1,7,1,1,4,8,1,10,12
lnpsnh1,lnpsnh1,1.0,13,13,2,9,2,2,23,2,2,13,13,2,1,2,12,13,2,13,17,2,24,2,10,15,2,2,2,16,13,23
lnpsnh2,lnpsnh2,1.0,1,21,1,9,1,6,20,1,1,19,18,8,1,1,1,1,1,1,16,4,1,5,11,1,8,8,1,13,18,1
lnpsnh3,lnpsnh3,1.0,1,1,4,4,4,2,1,4,4,1,1,4,1,1,11,1,2,1,1,2,1,2,4,1,4,7,4,14,1,1
lnpsnh4,lnpsnh4,1.0,24,26,1,1,8,3,1,11,11,1,1,1,1,1,1,1,1,1,1,1,1,2,10,17,1,1,11,1,1,22
lnpsnh5,lnpsnh5,1.0,21,1,4,1,1,1,20,1,1,17,11,1,22,1,1,1,1,1,9,1,1,1,1,9,1,1,1,9,11,1
lnpsnh6,lnpsnh6,1.0,1,33,6,10,7,1,1,12,1,1,1,6,1,1,16,1,5,1,1,3,1,1,7,1,6,6,1,1,1,1
lnpsnh7,lnpsnh7,1.0,1,42,13,17,15,1,40,15,15,1,1,5,1,1,24,1,5,1,1,1,1,1,15,1,5,7,20,1,25,39
lnpsnh8,lnpsnh8,1.0,33,33,3,10,12,7,3,3,3,31,26,3,1,3,16,3,3,3,3,6,3,6,13,3,3,3,3,20,26,3
