id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,1,2,1,1,1,1,1,1,4,1,1,7,4,4,7,1,11,1,11,4,15,4,1,4,4,7,15,1,1,1
mh1,mh1,50.0,1,1,25,1,1,13,1,1,1,1,20,1,4,1,9,20,15,6,0,1,1,1,20,1,3,1,1,22,20,23
mh2,mh2,50.0,15,1,1,1,1,1,1,4,4,4,1,4,4,4,4,1,10,4,10,4,9,4,1,4,4,4,0,1,1,0
mh3,mh3,50.0,1,1,1,1,1,1,12,1,1,1,0,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,0,1,1
mh4,mh4,50.0,4,1,4,4,4,15,22,4,4,10,4,10,9,7,10,19,16,10,16,7,4,7,4,7,4,10,4,4,4,4
mnh0,mnh0,50.0,1,1,2,3,3,3,16,5,6,5,3,9,6,7,9,3,3,5,3,7,3,7,14,7,6,5,3,3,14,14
mnh1,mnh1,50.0,1,1,1,1,12,12,1,1,2,1,14,11,1,3,11,1,12,1,12,3,12,3,1,9,1,11,12,14,1,1
mnh2,mnh2,50.0,2,1,3,3,3,3,3,3,3,3,21,3,3,3,3,21,16,12,16,3,16,3,26,5,8,3,19,23,21,21
mnh3,mnh3,50.0,1,3,1,15,15,15,1,1,1,1,15,1,1,1,1,31,16,1,22,7,16,1,15,1,14,1,16,15,15,15
mnh4,mnh4,50.0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,16,1,19,1,19,4,22,2,1,9,11,1,22,1,1,1
mnh5,mnh5,50.0,1,4,1,1,1,1,1,5,5,5,16,5,5,5,5,18,1,5,13,6,1,5,17,5,11,5,1,16,17,17
mnh6,mnh6,50.0,1,1,1,21,21,22,1,1,1,1,30,1,12,4,20,36,21,1,21,4,21,11,30,4,17,1,21,30,30,33
mnh7,mnh7,50.0,1,1,1,25,1,1,1,1,1,1,1,9,1,1,13,24,1,1,1,1,17,1,1,1,6,1,17,1,1,21
mnh8,mnh8,50.0,1,1,2,2,2,2,2,2,2,7,2,2,2,4,2,2,13,7,12,4,12,4,2,4,2,2,12,2,2,19
mnh9,mnh9,50.0,1,1,1,1,15,15,1,1,3,1,21,12,3,3,14,1,16,1,16,3,19,3,1,3,3,12,19,21,1,1
mnh10,mnh10,50.0,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,13,4,1,4,1,4,1,7,1,2,1,4,9,7,7
mnh11,mnh11,50.0,1,1,62,1,1,1,63,1,1,1,1,1,1,1,1,1,57,1,57,1,58,1,1,48,52,1,58,1,1,61
mnh12,mnh12,50.0,1,3,1,1,1,1,1,5,5,5,37,5,5,6,5,37,1,25,1,7,1,6,37,24,5,34,1,37,37,37
mnh13,mnh13,50.0,1,2,4,17,6,6,19,6,6,6,17,6,6,6,6,17,13,6,13,6,14,8,17,6,6,6,14,17,17,17
mnh14,mnh14,50.0,1,1,19,1,1,1,20,1,2,1,1,1,12,6,1,1,14,1,14,6,14,6,1,6,11,1,14,1,1,1
lpsh0,lpsh0,1.0,1,1,1,1,1,1,30,2,1,18,1,15,1,1/4,0,29,1,20,1,1/5,23,1/6,28,1,11,15,24,1,28,28
lpsh1,lpsh1,1.0,1,1,1,1,1/8,1,1,1,1,1,0,0/1,1,1,1,0,17,1,17,1,1,1,0,1,0,1,1,0/23,0,0
lpsnh0,lpsnh0,1.0,1,1,1,1,1,1,1,1,1,1,1/23,1,1,1/2/5,12,23,17,1,17/20,1/2,21/22,3,25,2,7/8,13/15,1,23,24,24/25
lpsnh1,lpsnh1,1.0,1,1,1,1,1,1,1,1,1,6,10,1,4,1,1,1,9,6,9,1,1,1,16,1,2,1,1,10,1,1
lpsnh2,lpsnh2,1.0,1,1/2,1,1,1,1,1,1,1,1,22,1,1,1,1,24,13,1,13,1,21/13,1,22,1,8,12,13,22,22,22
lpsnh3,lpsnh3,1.0,1,1,1,1,1/11,1,1,1,1/3,9,29,9,7,3,9,29,1,9,1,3,13,3/5,31,3,1,9,14,29,31,31
lpsnh4,lpsnh4,1.0,2,1,2,2,2,2,2,4,5,4,2,4,5,5,4,2,12,4,12,5,23,5,2,5,5,4/11,23,2,2,2
lpsnh5,lpsnh5,1.0,1,1,1/4,5,20/5,5,29/30,6,6,17,5,17,11/13,6,19,5,22,17,22,6,5,8,26,6,10,17,5,5/23,5,24
lpsnh6,lpsnh6,1.0,1,1,1,2,2,2,1,2,2,2,2,6/8,2,2,12,2,24,2,24,2,2,2,30,2,2,6,2,2,2/30,38
lpsnh7,lpsnh7,1.0,1,2,1,1,1,1,1,1,1,1,13,1,1,1,10,13,1,1,1,1,12,1/4,13,6/8,1,1,1/11,13,13,13
lpsnh8,lpsnh8,1.0,1,1,1,1,1,1/17,1,1,8/9/10,13,1,13,1/9,9,14,1/24,20,13,20,10,20,9,1,9,1/9,13,20,22,1,1
lpsnh9,lpsnh9,1.0,1,1,36,2,2,2,2,2,2/3,2,2,2/9,7,3,2,35,16,2,16,4,2,3/6,34,3,2,15,2,2,2,32
lpsnh10,lpsnh10,1.0,1,1,1,25,1,1,27,1,3,1/7,21,1,3,3,1,21,9,7,16,3,20,3,21,5,3,1,18,21/22,21,21/24
lpsnh11,lpsnh11,1.0,1,1,1,1,1,1,1,1,2,1,1,9/10,7/8,5,1,1,15,1,18,5,19,5,1,5,2,1,19,1,1/22,1
lpsnh12,lpsnh12,1.0,1,1,27,1,1,1,27,1,1,1/11,23,1,10,1,1,23,1,11,1,1,1,1,23,3,9,15,1,23/24,23,23
lpsnh13,lpsnh13,1.0,1,1,32/1,1,1,1,34,1,1,1,29,1,20,1,1,29,1/21,1,21,1,27/28,7,29/31,10,12,1,27,29,29,29
lpmh0,lpmh0,1.0,6,3,6,6,6,6,50/52,13,6,6,6,6,6,6,20,0/6,33,6,38,6,39,6,6,0/12,6,6,39/41,0,46,6
lpmh1,lpmh1,1.0,1,5,1/38,1,1/19/20,20,39,1,13,1,0,1,9/10,13,1,0,19,1,19,13,24,13,31,13,16/9,1,24,28,31,37
lpmnh0,lpmnh0,1.0,3,1,3,2,2,2,40,3,5,3,2,3,11,6,3,37,17,3/13,23,6,25,6,2/36,7,10,16,27,35,2,2
lpmnh1,lpmnh1,1.0,1,1,3/38,2,2,2,39,10,2/5,10,27,10,2,5,10,36,18,16/10,18,5,24,5,34/27,8,2,10,21,29,27,27
lpmnh2,lpmnh2,1.0,1,1,2,3,3,3,2,4,9,18,3,4,9,16,4,3/28,23,18,23,16,25,16,3,16,9,18/20,3,3,3,3/27
lpmnh3,lpmnh3,1.0,1,6,42,1,1,1,42,1/17,1/7,19,32,18,16,7,18,41,1,21,1,8,1/31,8,32,13/14,15,23,1,35,32/38,32
lpmnh4,lpmnh4,1.0,1,6/7,8,8,8,8,8,10,10/12,10,8,10,10,12,10,8,28,17/19,28,10,8,10/13/14,34,12,16/10,22/10,8,32/8,34,34
lpmnh5,lpmnh5,1.0,6,4,6,6,6,6,121,6/7,10/11,7/14,49,7/15,7,11,17,49,24,7,24/26/27,12,29,11,54,13,7,21,33/29,53,49,49
lpmnh6,lpmnh6,1.0,91,2/3,4/44,41,4/27,31,90,4,9,4/21,41,4,4,10,23,41,35,22,35,16/10,38,10,41,10,4,26,39,41,41,41
lpmnh7,lpmnh7,1.0,1,3,5,5,16/5,5,26,6,8,6/10,20/5,12,8,8,12/13,5,17,6,17,9,5,8,5,8,8,15,5,5,5,5
lpmnh8,lpmnh8,1.0,1,1,1,1,1,1,1,1,1,12,41,12,1,1,12,41,28,12,30,1,1,1,41,1,5/6,12,39,41,41/43,44
lpmnh9,lpmnh9,1.0,1,1/2/3,1,4,4,4,1,4,4,4,17,4,9,6,4,4,12,4,13,6,4,6,4,6,8,10,4,17,4,4
lpmnh10,lpmnh10,1.0,1/38,1,1,4,4,4,1,6,6,15,4,15,6,9,15,4,26,15,26,10,4,11,36/37,9,13,20,4,30,4,35
lpmnh11,lpmnh11,1.0,1,1,3,17,3,3,3,8,3,8,17,8,3,3,8,17,3,8,3,3,16/3/15,3,17,3,3,11,15,17,17,17
lpmnh12,lpmnh12,1.0,1,1,1,2,2,2,19,2,2,2,2,2,2,2,2,2/18,2,2,2,2,2/12,3,2,6,2,2,2,2/13,2,17
lpmnh13,lpmnh13,1.0,1,1,1,19,13,13,1,1,1/3,1,19,1,8,1,1,19,16,9,17,1,18,1,19/23,1,6,12,18,20,19,19
lphh0,lphh0,1.0,0,5,0,0,29,29,69,24,0,24,0,24,0/23,0,25,65,33,24,36,0,39,0,56,0,20,27,41,0,0,50
lphh1,lphh1,1.0,11,0,11,11,0,74/75,11,18,23/24,44,90,42,23,32,0,120,78,43,78,23,0,0,100,32,35,67,0,0/90,100,117
lphnh0,lphnh0,1.0,2,1,2,80,43,42,2,2,19,36,2,36,19,27,36,79,48,39,48,20,46,23,78,24,31,36/41,53/46,62,71,71
lphnh1,lphnh1,1.0,1,1/2,59,41,33,33,3,17,10,28,41,26,15,10,18/26,41,36,18,33,10,33,11,57,10,4,29,39,49,52,55
lphnh2,lphnh2,1.0,1,1,78,7,7,7,78,27,14,28,57/60,37,24,15,37,77,41,28,42/43,18,7,21,64,17,23,37,48/49,57,62/63,65
lphnh3,lphnh3,1.0,1/4,1,4,4,44,44,112/113/4,36/10,11,41,103,10,34,11,10,4,94,40,88/95,14,101,11,4/110,11,10,10,101,4,4,108
