id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
mh0,mh0,50.0,14,1,1,1,1,1,1,1,1,5,11,5,1,2,7,10,1,5,1,1,9,1,10,2,1,5,9,11,10,10
mnh0,mnh0,50.0,1,1,2,2,2,14,2,2,3,2,2,13,3,4,12,2,2,11,2,4,2,4,2,4,6,12,2,2,2,2
mnh1,mnh1,50.0,1,1,1,1,1,1,23,1,1,9,1,12,1,5,9,1,19,9,19,5,1,5,1,5,6,9,20,22,1,1
mnh2,mnh2,50.0,20,1,1,1,1,1,1,8,1,8,1,8,1,5,8,1,14,8,14,1,14,1,1,5,1,8,14,1,1,1
mnh3,mnh3,50.0,27,1,26,18,18,18,26,3,3,3,18,3,15,3,3,18,18,3,21,5,18,9,18,13,3,17,18,25,18,18
lpsh0,lpsh0,1.0,1,1,1,1,1,1,1,1,2,7,15,1,2,2,1,1,1,1,1,2,1,2,1,2,4,1,1,16,1,1
lpsnh0,lpsnh0,1.0,1,1,14,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,3,1,7,1,1,1,1,1,1
lpsnh1,lpsnh1,1.0,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,18,3,18,3,20,3,3,3,3,16,20,3,3,3
lpsnh2,lpsnh2,1.0,1,1,1,1,1,1,1,1,1,8,1,8,1,1,8,1,11,9,11,1,1,5,1,7,1,8,1,1,1,17
lpmh0,lpmh0,1.0,1,1,1,24,1,1,25,3,3,3,1,3,3,10,3,1,1,3,1,9,1,3,1,3,16,3,1,21,0,22
lpmnh0,lpmnh0,1.0,1,2,1,1,20,21,1,17,6,17,27,17,6,6,17,27,22,17,22,10,20,6,27,6,14,17,20,30,27,27
lpmnh1,lpmnh1,1.0,5,1,7,7,7,7,52,8,8,13,34,14,8,8,15,34,20,13,20,8,27,8,40,8,11,14,27,37,40,44
lpmnh2,lpmnh2,1.0,1,5,1,6,6,6,1,6,6,15,6,14,11,7,14,6,17,15,17,7,19,7,24,7,6,14,19,6,6,23
lphh0,lphh0,1.0,1,5,1,0,7,7,89,7,7,21,0,30,7,7,32,79,7,21,44,7,47,7,0,13,18,41,47,68,0,0
lphnh0,lphnh0,1.0,1,1,3,75,3,3,95,3,3,46,78,51,40,9,52,78,69,46,69,15,71,22,90,9,31,53,73,85,87,87
lphnh1,lphnh1,1.0,104,2,8,100,8,8,8,8,11,47,90,48,42,12,48,99,78,45,78,12,8,17,96,30,31,71,8,89,94,96
lphnh2,lphnh2,1.0,1,2,1,1,1,1,1,1,1,9,48,7,1,1,7,48,31,9,35,1,30,1,62,6,1,22,46,52,48,58
lnpsh0,lnpsh0,1.0,1,0,8,15,8,8,8,8,9,8,17,8,9,9,8,15,8,8,8,9,8,9,15,9,9,8,8,17,15,15
lnpsh1,lnpsh1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,2,1,1,1,1,1,15,1,1
lnpsh2,lnpsh2,1.0,1,1,1,1,1,1,19,3,1,3,8,3,1,1,3,16,6,3,5,1,1,2,8,1,1,3,1,8,8,8
lnpsnh0,lnpsnh0,1.0,1,1,1,24,2,2,1,2,2,2,2,2,13,2,2,2,2,2,2,2,20,5,2,6,12,19,20,21,2,2
lnpsnh1,lnpsnh1,1.0,1,5,1,1,1,1,78,1,1,1,34,1,13,1,1,71,16,1,16,8,25,1,34,1,1,1,25,42,34,70
lnpsnh2,lnpsnh2,1.0,1,2,1,1,1,12,22,1,1,11,19,11,3,1,11,19,13,11,14,1,1,1,19,1,7,11,1,19,19,19
lnpsnh3,lnpsnh3,1.0,2,1,2,18,18,18,2,2,2,2,18,2,11,2,2,18,18,2,18,8,18,2,25,2,2,17,21,18,18,24
lnpsnh4,lnpsnh4,1.0,1,1,1,2,2,2,1,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,3,2,2,7,2,2,2
lnpsnh5,lnpsnh5,1.0,1,1,1,3,3,3,1,3,5,21,3,3,5,5,3,3,3,21,3,5,27,5,3,5,15,3,29,3,3,3
lnpsnh6,lnpsnh6,1.0,1,1,1,12,1,1,1,1,2,1,12,1,2,2,1,12,4,1,4,3,9,2,12,2,2,1,9,12,12,13
lnpsnh7,lnpsnh7,1.0,1,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,12,1,13,5,24,5,1,5,6,1,25,1,1,1
lnpsnh8,lnpsnh8,1.0,1,1,3,4,4,4,3,4,4,4,15,4,4,4,9,15,11,4,11,4,11,4,15,4,6,4,11,15,15,15
lnpsnh9,lnpsnh9,1.0,1,3,1,1,1,1,1,1,6,1,31,1,1,6,1,31,1,1,1,6,1,6,31,9,26,1,1,31,31,31
lnpsnh10,lnpsnh10,1.0,2,1,2,2,10,10,2,2,2,2,16,2,2,2,2,16,13,2,13,2,10,2,17,2,2,8,10,16,16,17
lnpsnh11,lnpsnh11,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,9,1,1,1,1,4,11,1,1,1,1,1,1,1
lnpsnh12,lnpsnh12,1.0,1,1,1,1,1,1,16,1,2,1,1,1,2,4,1,1,1,1,1,4,10,4,1,4,2,1,10,1,1,1
lnpsnh13,lnpsnh13,1.0,2,1,2,3,3,3,2,3,3,12,3,3,3,5,3,33,18,13,20,7,21,5,3,5,9,3,24,3,3,29
lnpsnh14,lnpsnh14,1.0,1,4,1,1,1,1,1,17,9,17,27,17,9,9,18,27,20,17,20,9,20,9,27,9,13,17,20,27,27,27
lnpsnh15,lnpsnh15,1.0,2,1,2,2,2,2,2,2,2,2,16,2,2,2,2,19,11,2,11,2,11,2,16,4,2,2,15,18,16,16
lnpsnh16,lnpsnh16,1.0,1,1,1,17,1,1,1,1,1,10,21,10,1,1,11,34,14,10,13,1,1,1,21,1,7,10,16,23,21,25
lnpsnh17,lnpsnh17,1.0,3,1,5,5,5,5,5,12,5,12,5,12,5,5,12,5,19,12,19,8,5,5,26,5,11,16,5,5,5,26
lnpmh0,lnpmh0,1.0,2,1,2,2,22,22,2,2,2,2,29,2,19,9,2,29,22,2,22,2,22,4,29,6,0,2,22,29,29,29
lnpmh1,lnpmh1,1.0,1,0,1,6,24,24,1,6,9,6,6,6,20,9,6,6,27,6,27,10,29,12,40,16,7,6,29,37,38,40
lnpmh2,lnpmh2,1.0,1,1,51,1,1,1,1,1,3,27,1,27,3,10,27,48,34,27,34,13,37,14,47,10,3,29,39,1,0,44
